"word","pronounciation","meaning","source","source2","note","gematria"
"BVRISE",,"glorious cry, infinite wail","WE","Liber Loagaeth",,
"BYAPAOL",,"2ND MINISTER OF BRORGES","WE",,,
"BYAPARE",,"2ND MINISTER OF SATURN","WE",,,
"BYNEPOR",,"ANGEL JUPITER IN JUPITER,KING","WE",,,
"BZIZA",,"Kerubic Archangel FIRE OF FIREC Veh (C or K)","WE",,,
"C",,"of, unto,on, with; o,oh","WE",,,
"CA",,"therefore","WE",,,
"CA",,"therefor","WE",,,
"CA",,"another","WE",,,
"CAB",,"a rod","WE",,,
"CABA",,"govern, to; (see 'cab')","WE",,,
"CACACOM",,"flourish","WE",,,
"CACARG",,"until","WE",,,
"CACRG",,"until","WE",,,
"CADAAMP",,"Zodiacal King SAGITTARIUS","WE",,,
"CAF",,"abides","WE","Liber Loagaeth",,
"CAFAFAM",,"abiding, var of casasam","WE",,,
"CALZ",,"firmaments, above the","WE",,,
"CALZIRG",,"PART IN LIN","WE",,,
"CAM",,"speaking","WE","Liber Loagaeth",,
"CAMASCHETH",,"meaning unknown","WE",,,
"CAMIKAS",,"meaning unknown","WE",,,
"CAMLIAX",,"spoke (p.t. of ""speak"")","WE",,,
"CANAL",,"workers, continual workmen","WE",,,
"CANSE",,"mighty","WE",,,
"CAOSG",,"earth, the","WE",,,
"CAOSG",,"earth, on the","WE",,,
"CAOSG",,"earth, the","WE",,,
"CAOSGA",,"earth, the","WE",,,
"CAOSGI",,"earth, the","WE",,,
"CAOSGI",,"earth, than the","WE",,,
"CAOSGIN",,"earth, var of caosg","WE",,,
"CAOSGO",,"earth, of the","WE",,,
"CAOSGON",,"earth, to the earth","WE",,,
"CAPH",,"in turn","WE","Liber Loagaeth",,
"CAPIMALI",,"successively","WE",,,
"CAPIMAO",,"time, while","WE",,,
"CAPIMAON",,"time, the number of","WE",,,
"CAPMIALI",,"successively (alt.sp.)","WE",,,
"CAPPO",,"therefore the Sons of God","WE","Liber Loagaeth",,
"CARBAF",,"sink","WE",,,
"CARMA",,"come out","WE",,,
"CARMARA",,"KING OF HEPTARCHY","WE",,,
"CARNAT",,"invoke the Lord","WE","Liber Loagaeth",,
"CAS",,"who is","WE","Liber Loagaeth",,
"CASARM",,"whom, to whom","WE",,,
"CASARM",,"whom, unto whomCASARMA whom","WE",,,
"CASARMAN",,"whom, of whom","WE",,,
"CASARMAN",,"whom, under whose","WE",,,
"CASARMG",,"whom, in whom","WE",,,
"CASARMI",,"whom, under whom","WE",,,
"CASASAM",,"abiding, their","WE",,,
"CELPADMAN",,"meaning unknown","WE",,,
"CEM",,"of the nine; unto the nine; with the nine","WE","Liber Loagaeth",,
"CEPH",,"ENOCHIAN LETTER Z","WE",,,
"CHE",,"of the Son of Light","WE","Liber Loagaeth",,
"CHIALPS",,"PART IN NIA","WE",,,
"CHIEUAK",,"Being with Vaa","WE","Liber Loagaeth",,
"CHIIS",,"are they","WE",,,
"CHILDAO",,"diamond, with","WE",,,
"CHILDAO",,"diamonds","WE",,,
"CHIRLAN",,"rejoices","WE",,,
"CHIRZPA",,"PART IN ASP","WE",,,
"CHIS",,"are","WE",,,
"CHISO",,"are, shall be","WE",,,
"CHR",,"TWENTIETH AETHYR","WE",,,
"CHRAMSA",,"meaning unknown","WE",,,
"CHRISTEOS",,"let there be","WE",,,
"CIAI",,"9996","WE",,,
"CIAOFI",,"terror, to the terror of","WE",,,
"CICLE",,"mysteries, the","WE",,,
"CICLES",,"mysteries, of your mysteries","WE",,,
"CINXIR",,"mingled","WE",,,
"CLA",,"456","WE",,,
"CNILA",,"blood, of","WE",,,
"CNOQOD",,"servants, his","WE",,,
"CNOQUODI",,"servants, with the ministers","WE",,,
"CNOQUOL",,"servants, o you","WE",,,
"COAZIOR",,"increase","WE",,,
"COCASB",,"times","WE",,,
"COCASB",,"time","WE",,,
"COCASB",,"time, of","WE",,,
"COCASB",,"time, the","WE",,,
"COLLAL",,"sleeves","WE",,,
"COMANAN",,"PART IN ZAX","WE",,,
"COMMAH",,"trussed you together","WE",,,
"COMO",,"window, a","WE",,,
"COMSELH",,"circle, a","WE",,,
"CONGAMPHLGH",,"MAN'S SPIRIT; THE HOLY GHOST; 212","WE",,,
"CONISBRA",,"work of man, the","WE",,,
"CONST",,"thunders, the","WE",,,
"COR",,"number","WE",,,
"CORABIEL",,"angel of mercury ???","WE",,,
"CORAXO",,"thunders of judgment & wrath","WE",,,
"CORAXO",,"thunders","WE",,,
"CORD",,"made","WE",,,
"CORDZIZ",,"man","WE",,,
"CORDZIZ",,"men, reasoning creatures","WE",,,
"CORFAX",,"name of a guardian angel","WE",,,
"CORMF",,"number","WE",,,
"CORMFA",,"numbers","WE",,,
"CORMP",,"numbered","WE",,,
"CORMPO",,"number, have numbered","WE",,,
"CORMPT",,"number, be numbered","WE",,,
"CORONZON",,"demon","WE",,,
"CORS",,"such, work","WE",,,
"CORSI",,"such, of such as","WE",,,
"CRALPIR",,"PART IN ZIP","WE",,,
"CRAMSA",,"beginning with 9 in the 4th","WE","Liber Loagaeth",,
"CRIP",,"but","WE",,,
"CROODZI",,"beginning, 2nd beginning of the","WE",,,
"CRP",,"but (alt.sp.)","WE",,,
"CRUSCANSE",,"more mighty","WE",,,
"CUCARPT",,"PART IN LEA","WE",,,
"CURES",,"here (?)","WE",,,
"CZNS",,"Servient Angel AIR OF AIR","WE",,,
"CZONS",,"Servient Angel AIR OF AIR (VAR)","WE",,,
"D","deh","one third","EMPM",,,4
"D",,"Gal (D)","WE",,,
"D",,"third, the third","WE",,,
"DA",,"there","WE",,,
"DABIN",,"(manifested word of God) Logos","WE","Liber Loagaeth",,
"DAH",,"thrice","WE","Liber Loagaeth",,
"DALPH",,"among the first to give","WE","Liber Loagaeth",,
"DALTT",,"Servient Angel EARTH OF FIRE","WE",,,
"DAM",,"several","WE","Liber Loagaeth",,
"DAMO",,"several men","WE","Liber Loagaeth",,
"DAMPH",,"various","WE","Liber Loagaeth",,
"DAMPLOZ",,"variety","WE",,,
"DAN",,"3 in 1","WE","Liber Loagaeth",,
"DANPHA",,"the three are One","WE","Liber Loagaeth",,
"DANZAN",,"universal law","WE","Liber Loagaeth",,
"DAOX",,"5678","WE",,,
"DAPH",,"Speaking from there","WE","Liber Loagaeth",,
"DAPI",,"Servient Angel FIRE OF WATER","WE",,,
"DAR",,"The Philosopher’s Stone","WE","Liber Loagaeth",,
"DARBS","dar-bess","obedience","EMPM",,,122
"DARBS",,"obey","WE",,,
"DARG",,"6739","WE",,,
"DARR",,"THE PHILOSOPHER'S STONE","WE",,,
"DARSAR",,"wherefore","WE",,,
"DASCH",,"a thousand angels of God","WE","Liber Loagaeth",,
"DASMAT",,"a thousand angels","WE","Liber Loagaeth",,
"DASPI",,"Servient Angel FIRE OF WATER","WE",,,
"DATT",,"Servient Angel EARTH OF FIRE","WE",,,
"DAVEZ",,"there unto them","WE","Liber Loagaeth",,
"DAX",,"loins","WE",,,
"DAXIL",,"loins, thy","WE",,,
"DAXZUM",,"seed","WE","Liber Loagaeth",,
"DAZIS","dah-zodee-ess","head, heads","EMPM",,,80
"DAZIS","dah-zodee-ess","head, heads","EMPM",,,86
"DAZIZ",,"heads, the","WE",,,
"DAZIZ",,"heads, their","WE",,,
"DE",,"of","WE",,,
"DEDVILH",,"meaning unknown","WE",,,
"DEF",,"visiting","WE","Liber Loagaeth",,
"DEGEL",,"not of the first","WE","Liber Loagaeth",,
"DEM",,"separate","WE","Liber Loagaeth",,
"DEMPHE",,"separate unto the Daughter of Light","WE","Liber Loagaeth",,
"DEO",,"SEVENTH AETHYR","WE",,,
"DES",,"26TH AETHYR","WE",,,
"DEX",,"of the One","WE","Liber Loagaeth",,
"DIAL",,"A GOD-NAME OF EARTH TABLET","WE",,,
"DIALIOAI",,"PART IN ARNDIARI Servient Angel WATER OF AIR","WE",,,
"DILZMO",,"differ, let them differ","WE",,,
"DINOXA",,"3 paths","WE","Liber Loagaeth",,
"DIOM",,"Servient Angel EARTH OF FIRE","WE",,,
"DIRI",,"Servient Angel WATER OF AIR","WE",,,
"DIU",,"angle","WE",,,
"DIV",,"angle","WE",,,
"DIV",,"angle","WE",,,
"DIXOM",,"Servient Angel EARTH OF FIRE","WE",,,
"DLASOD",,"ALCHEMICAL SULPHUR","WE",,,
"DLUGA",,"give, giving","WE",,,
"DLUGAM",,"given, p.t. ""to give""","WE",,,
"DLUGAM",,"give, given","WE",,,
"DLUGAR","deh-lu-gar","to give","EMPM",,,196
"DLUGAR",,"give, gave them","WE",,,
"DLUGAR",,"give, giving unto them","WE",,,
"DMAL",,"SON OF LIGHT, JUPITER OR MARS","WE",,,
"DO","doh","name","EMPM",,,34
"DO",,"Root of Don (R), which is the root of the word for 'Hell Fire' and the word for 'Sun of God'","WE","Holy Table of Practice perimeter",,
"DOAGNIS",,"PART IN ARN","WE",,,
"DOALIM","doh-ah-lee-em","sin","EMPM",,,198
"DOALIM",,"SIN, OF SIN","WE",,,
"DOANZIN",,"PART IN ZIP","WE",,,
"DOBIX",,"FALL","WE",,,
"DOCEPAX",,"PART IN ZIM","WE",,,
"DODPAL",,"VEX, LET THEM VEX","WE",,,
"DODRMNI",,"VEX, VEXED","WE",,,
"DODS",,"VEX, VEXING","WE",,,
"DODSEH","doh-dess-eh","vexation","EMPM",,,56
"DODSIH",,"VEX, VEXATION","WE",,,
"DOH",,"holy fire","WE","Liber Loagaeth",,
"DOLOP",,"Servient Angel EARTH OF EARTH","WE",,,
"DOMIOL",,"Making the Lord to Understanding","WE","Liber Loagaeth",,
"DON",,"ENOCHIAN LETTER R","WE",,,
"DONASDOGAMA",,"TASTOS HELL-FIRE","WE",,,
"DONGLSES",,"the Daughter of Light pines for the Sun of God","WE","Liber Loagaeth",,
"DONITON",,"the Sun of God is begotten","WE","Liber Loagaeth",,
"DONKNA",,"Sun of God","WE","Liber Loagaeth",,
"DONLA",,"primordial fire","WE","Liber Loagaeth",,
"DONS",,"the Sun of God to the 4 th","WE","Liber Loagaeth",,
"DOOAIN",,"NAME","WE",,,
"DOOAIN",,"NAME, HIS","WE",,,
"DOOAIO",,"NAME, IN THE NAME OF (ALT.SP)","WE",,,
"DOOIAP",,"NAME, IN THE NAME OF","WE",,,
"DOOP",,"Servient Angel EARTH OF EARTH","WE",,,
"DOPA",,"Kerubic Angel AIR OF FIRE","WE",,,
"DORPHA",,"LOOK, LOOKED ABOUT ME","WE",,,
"DORPHAL",,"LOOK, LOOKING WITH GLADNESS","WE",,,
"DOSCH",,"of the night","WE","Liber Loagaeth",,
"DOSIG","doh-see-geh","night","EMPM",,,109
"DOSIG",,"NIGHT","WE",,,
"DOX",,"the sacrificial fire","WE","Liber Loagaeth",,
"DOXMAEL",,"PART IN TEX","WE",,,
"DRAMAH",,"the (third) East is in darkness","WE","Liber Loagaeth",,
"DRILPA",,"GREAT","WE",,,
"DRILPA",,"GREAT","WE",,,
"DRILPI",,"GREATER (LARGER?)","WE",,,
"DRINOX",,"invoke the Hexagram of dissolution","WE","Liber Loagaeth",,
"DRIX",,"BRING DOWN","WE",,,
"DROES",,"at any quarter","WE","Liber Loagaeth",,
"DROLN",,"ANY, AT ANY","WE",,,
"DROXAD",,"any part of the third","WE","Liber Loagaeth",,
"DRUN",,"ENOCHIAN LETTER N","WE",,,
"DRUX",,"ENOCHIAN LETTER N","WE",,,
"DRUXARH",,"the Angel of the East is among the third","WE","Liber Loagaeth",,
"DRVLTHE",,"The angel of the East is seated with the Daughter of Light","WE","Liber Loagaeth",,
"DS",,"WHICH","WE",,,
"DS",,"AND","WE",,,
"DS",,"THAT","WE",,,
"DST",,"WHICH (alt.sp.)","WE",,,
"DVN",,"the body of God","WE","Liber Loagaeth",,
"DVXMA",,"the body of God","WE","Liber Loagaeth",,
"E",,"Graph (E)","WE",,,
"E",,"DAUGHTER OF LIGHT","WE",,,
"E","Eh","(name of an angel)","EMPM","pg 25",,
"EAI",,"AMONG, VAR OF 'AAI'","WE",,,
"EBAO",,"aethyr","WE","Lamen",,
"ECAOP",,"Servient Angel WATER OF FIRE","WE",,,
"ECOP",,"Servient Angel WATER OF FIRE","WE",,,
"ECRIN",,"PRAISE, THE","WE",,,
"EDLPRNA",,"KING OF FIRE TABLET (VAR)","WE",,,
"EDLPRNAA",,"ELEMENTAL KING OF FIRE TABLET","WE",,,
"EDNAS","ed-nah-ess","receivers","EMPM",,,77
"EDNAS",,"RECEIVE, AS RECEIVERS","WE",,,
"EF",,"VISIT US","WE",,,
"EFAFAFE","eff-aff-aff-eh","vessels","EMPM",,,41
"EFAFAFE",,"VIALS, YOUR VIOLS","WE",,,
"EFAFAFE",,"VIALS (?VIOLS)","WE",,,
"EFE",,"MEANING UNKNOWN","WE",,,
"EG",,"holy","WE","Holy Table of Practice perimeter",,
"EGO",,"HOLY, THE","WE","Lamen",,
"EILOMFO",,"1ST MINISTER OF MARS","WE",,,
"EKIEI",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"EL","el","first","EMPM",,,18
"EL",,"FIRST, THE","WE",,,
"EL",,"SON OF SON OF LIGHT, VENUS","WE",,,
"ELA",,"FIRST","WE",,,
"ELGNSEB",,"1ST MINISTER OF MERCURY","WE",,,
"ELO","el-oh","all","EMPM",,,48
"ELO",,"FIRST","WE",,,
"ELZAP","el-zodah-peh","way, course","EMPM",,,36
"ELZAP","el-zodah-peh","way, course","EMPM",,,42
"ELZAP",,"COURSE, THE COURSE","WE",,,
"ELZAP",,"COURSE, COURSES","WE",,,
"EM",,"NINE","WE",,,
"EMETGIS",,"SEAL, THE","WE",,,
"EMNA",,"HERE","WE",,,
"EMOD",,"876","WE",,,
"ENAY",,"LORD, THE","WE",,,
"EO",,"make, making, ‘I made you’","WE","Holy Table of Practice perimeter",,
"EOAN",,"making","WE","Table of 12",,
"EOAN",,"‘making’, ‘the Sons of the Son of Light’","WE","Holy Table of Practice perimeter",,
"EOGA",,"THE PLACE (Schuler)","WE",,,
"EOL",,"MAKE, I MADE YOU","WE",,,
"EOLIS","eh-oh-lee-es","to make","EMPM",,,115
"EOLIS",,"MAKE, MAKING","WE",,,
"EOO",,"Archetypal man, makes or making man","WE","Table of 12",,
"EOPHAN","eh-oh-peh-han","sorrow","EMPM",,,106
"EOPHAN",,"LAMENTATION, OF","WE",,,
"EORS",,"HUNDRED, WITH AN","WE",,,
"ERAN",,"6332","WE",,,
"ERGDBAB",,"6TH MINISTER OF MERCURY","WE",,,
"ERM",,"ARK, WITH THE","WE",,,
"ERZLA",,"Kerubic Archangel AIR OF AIR","WE",,,
"ES","ess","one fourth, a quarter","EMPM",,,17
"ES",,"FOURTHESE DAUGHTER OF LIGHT","WE",,,
"ESE","Es-seh","(name of an angel)","EMPM","pg 25",,
"ESEMELI",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"ESIASCH",,"BROTHERS, THE","WE",,,
"ETAAD",,"Kerubic Archangel AIR OF WATER","WE",,,
"ETDIM",,"Kerubic Archangel WATER OF","WE",,,
"ETEVLGL",,"6TH MINISTER OF MARS","WE",,,
"ETHAMZ",,"COVER, ARE COVERED","WE",,,
"ETHAMZA","en-teh-ham-zodah","to be covered, hidden","EMPM",,,131
"ETHARZI","eh-teh-har-zodee","in peace","EMPM",,,183
"ETHARZI","eh-teh-har-zodee","in peace","EMPM",,,195
"ETHARZI",,"PEACE, IN","WE",,,
"ETNBR",,"Kerubic Archangel EARTH OF AIR","WE",,,
"EXARP",,"AIR NAME, TABLET OF UNION","WE",,,
"EXENTASER",,"MOTHER OF ALL","WE",,,
"EXGSD",,"Kerubic Archangel FIRE OF AIR","WE",,,
"EYTPA",,"Kerubic Archangel WATER OF AIR","WE",,,
"F","eff","to visit","EMPM",,,3
"F",,"Orth (F)","WE",,,
"F",,"VISIT","WE",,,
"F",,"VISIT US","WE",,,
"FA",,"arrives","WE","Liber Loagaeth",,
"FAAIP",,"VOICE, YOUR VOICES","WE",,,
"FABOAN","fah-boh-an","poison","EMPM",,,100
"FABOAN",,"POISON, WITH","WE",,,
"FAF",,"Your thought","WE","Lamen",,
"FAFEN","eff-aff-en","to train","EMPM",,,72
"FAFEN",,"TRAIN, YOUR","WE",,,
"FAFEN",,"INTENT, TO THE INTENT THAT","WE",,,
"FALOD",,"the third arrives first","WE","Liber Loagaeth",,
"FAM",,"ENOCHIAN LETTER S","WE",,,
"FAMOLET",,"the Daughter of Light covers the first","WE","Liber Loagaeth",,
"FAMSED",,"the Daughter of Light cxrying in the third","WE","Liber Loagaeth",,
"FAONTS","fah-oh-en-tess","to dwell in","EMPM",,,99
"FAONTS","fah-oh-en-tess","to dwell in","EMPM",,,105
"FAONTS",,"DWELLING","WE",,,
"FAORGT",,"DWELLING PLACE, THE","WE",,,
"FARGT",,"DWELLING PLACES, THE","WE",,,
"FARZM",,"VOICE, YOU LIFTED YOUR VOICES","WE",,,
"fatesged",,"the 4 th heaven","WE","Liber Loagaeth",,
"FAXMAL",,"one with the infinite","WE","Liber Loagaeth",,
"FAXS",,"7336","WE",,,
"FIAN",,"She is visited upon","WE","Liber Loagaeth",,
"FIFALZ","fee-fall-zod","to eliminate, to weed out","EMPM",,,83
"FIFALZ","fee-fall-zod","to eliminate, to weed out","EMPM",,,89
"FIFALZ",,"WEED OUT","WE",,,
"FIRE",,"WOE","WE",,,
"FISIS","fee-see-ess","to do, perform","EMPM",,,137
"FISIS",,"EXECUTE, CARRY OUT","WE",,,
"FMND",,"Servient Angel AIR OF AIR","WE",,,
"FMOND",,"Servient Angel AIR OF AIR (VAR)","WE",,,
"FR",,"‘that which you have within yourself'","WE","Holy Table of Practice perimeter",,
"FRES",,"that which you have within you is the fourth","WE","Liber Loagaeth",,
"G","geh","not, only","EMPM",,,8
"G",,"Ged (G)","WE",,,
"G-DO",,"THE NAME OF","WE",,,
"G-RSAM",,"ADMIRATION, WITHGRU DEED, FACT","WE",,,
"GA",,"31, make, with, name of an angel; meaning ‘Last breath of the living’, spirits, the fifth angel","WE",,,
"GAD",,"the third angel","WE","Liber Loagaeth",,
"GAG",,"meaning unknown","WE",,,
"GAH","gah","spirit, spirits","EMPM",,,15
"GAH",,"SPIRIT, THE SPIRITS","WE",,,
"GAHA",,"EXISTED; BABE OF THE ABYSS","WE",,,
"GAHAL",,"EXISTS","WE",,,
"GAHALANA",,"WILL EXIST","WE",,,
"GAHIRE",,"meaning unknown","WE",,,
"GAHOACHMA",,"I AM THAT I AM, TITLE OF GOD","WE",,,
"GAIOL",,"A GOD-NAME OF WATER TABLET","WE",,,
"GAIOL",,"holy name of 5 letters ruling the element of Water","WE",,,
"GAL",,"GAL, ENOCHIAN LETTER D","WE",,,
"GALGOL",,"meaning unknown","WE",,,
"GALSE",,"the night sky","WE","Liber Loagaeth",,
"GALSENOT",,"one star in a company of stars","WE","Liber Loagaeth","This word was created by accidentally combining two words in Loagaeth and translating them as one.",
"GALSUAGAPH",,"meaning unknown","WE",,"We found this word during our translation of Liber Loagaeth and translate it as: The spirit of Va, the 5 th Angel is the immortal nature.",
"GALSUAGATH",,"meaning unknown","WE",,"We found this word during our translation of Liber Loagaeth and translate it as: The spirit of Va, the 5 th Angel is the immortal nature.",
"GALVAH",,"END, NAME OF AN ANGEL","WE",,,
"GAM",,"[the] watery loins","WE","Liber Loagaeth",,
"GAMLED",,"the watery loins of the Daughter of Light initiate the East","WE","Liber Loagaeth",,
"GAMPH",,"that which is not","WE","Liber Loagaeth",,
"GAMPHEDAX",,"[the] watery loins of the Daughter of Light","WE","Liber Loagaeth",,
"GAN",,"of the angel","WE","Liber Loagaeth",,
"GANEBUS",,"angelic","WE","Liber Loagaeth",,
"GANISLAY",,"NAME OF A DEMON","WE",,,
"GANIURAX",,"meaning unknown","WE",,,
"GANPOGAN",,"the angelic image of the Sun of God is made in the 4th","WE","Liber Loagaeth",,
"GANPORT",,"angelic image of the Sun of God","WE","Liber Loagaeth",,
"GAPH",,"I give Ga","WE","Liber Loagaeth",,
"GAR",,"the Archangel of the East","WE","Liber Loagaeth",,
"GARMAL",,"meaning unknown","WE",,,
"GARMES",,"Spirit of the Daughter of Light","WE","Liber Loagaeth",,
"GARNASTEL",,"meaning unknown","WE",,,
"GARP",,"meaning unknown","WE",,,
"GASCAMPHO",,"Why didst thou so?—as God said to Lucifer.","WE",,,
"GASLAH",,"[this is] Why [did] God [?]","WE","Liber Loagaeth",,
"GASSAGEN",,"DIVINE POWER CREATING ANGEL","WE",,,
"GAZAVAA",,"A FORMED NAMED","WE",,,
"GB",,"slime","WE","Lamen",,
"GB-EBAO",,"Milk of the stars","WE","Lamen",,
"GBAL",,"Servient Angel WATER OF EARTH","WE",,,
"GBEAL",,"Servient Angel WATER OF EARTH","WE",,,
"GCHISGE",,"NOT, ARE NOT","WE",,,
"GE","geh","not, only","EMPM",,,18
"GE",,"NOT, IS NOT","WE",,,
"GE-OOEEON",,"THE EYES NEED ONLY TO (Schuler)","WE",,,
"GEBABAL",,"Zodiacal King LIBRA","WE",,,
"GEBAN",,"not being","WE","Liber Loagaeth",,
"GEBED",,"not gathering the third","WE","Liber Loagaeth",,
"GECAOND",,"PART IN ZIM","WE",,,
"GED",,"is not the third","WE","Liber Loagaeth",,
"GED",,"GED, ENOCHIAN LETTER G","WE",,,
"GEDO",,"speech","WE","Liber Loagaeth",,
"GEDON",,"holy speech","WE","Liber Loagaeth",,
"GEDOONS",,"PART IN LOE","WE",,,
"GEDOTBAR",,"BEGOTTEN","WE",,,
"GEDVTH",,"three-fold negative God","WE","Liber Loagaeth",,
"GEH",,"ARE, ART (f.p.sing ""to be"")","WE",,,
"GEH",,"THOU ART","WE",,,
"GEIAD",,"OUR LORD AND MASTER (alt.sp.)","WE",,,
"GEM",,"is not the 9","WE","Liber Loagaeth",,
"GEMAN",,"The Son of Son of Light is not the 9","WE","Liber Loagaeth",,
"GEMEDSOL",,"from the 3 rd Heaven","WE","Liber Loagaeth",,
"GEMEGANZA",,"YOUR WILL BE DONE","WE",,,
"GEMNIMB",,"PART IN TEX","WE",,,
"GEMPH",,"without the water","WE","Liber Loagaeth",,
"gemph",,"yield","WE","Liber Loagaeth",,
"GENA",,"from the Lord of Hosts (with)","WE","Liber Loagaeth",,
"GENADOL",,"PART IN DEO","WE",,,
"GENILE",,"from the Lord of Hosts, the Son of Son of Light","WE","Liber Loagaeth",,
"GENO",,"from the Lord of Hosts","WE","Liber Loagaeth",,
"GENS",,"from the 4 th","WE","Liber Loagaeth",,
"GENSO",,"from the Lord of Hosts, the holy Pentagram","WE","Liber Loagaeth",,
"GENZE",,"from the Daughter of Light","WE","Liber Loagaeth",,
"GEPHNA",,"MEANING UNKNOWN","WE",,,
"GER",,"ENOCHIAN LETTER Q","WE",,,
"GER",,"choose, choice","WE","Liber Loagaeth",,
"GERPALO",,"not remaining in this place","WE","Liber Loagaeth",,
"GES",,"is not the 4 th","WE","Liber Loagaeth",,
"GESCO",,"is not the fourth, but with the holy Pentagram...","WE","Liber Loagaeth",,
"GESCOGIER",,"HARVEST","WE",,,
"GEST",,"it also is not the 4 th","WE","Liber Loagaeth",,
"GETA",,"OUT OF HIM","WE",,,
"GEVAMNA",,"BEGINNING (?)","WE",,,
"GG",,"possess, inhabit","WE","Holy Table of Practice perimeter",,
"GGLPPSA",,"4TH MINISTER OF VENUS","WE",,,
"GI",,"WITH","WE",,,
"GIGIPAH","gee-gee-pah","living braeth","EMPM",,,152
"GIGIPAH",,"BREATH, LIVING BREATH","WE",,,
"GIL",,"WE WANT (?)","WE",,,
"GISA",,"ENOCHIAN LETTER T","WE",,,
"GISG",,"ENOCHIAN LETTER T","WE",,,
"GITHGULCAG",,"NAME OF A DEMON","WE",,,
"GIVI",,"STRONGER","WE",,,
"GIXYAX",,"EARTHQUAKES","WE",,,
"GLA",,"the first of the Daughters of Light","WE","Lamen",,
"GLO","geh-loh","things","EMPM",,,46
"GMDNM",,"Servient Angel WATER OF FIRE","WE",,,
"GMICALZ",,"POWER, A POWERFUL","WE",,,
"GMICALZO",,"POWER, IN P. AND PRESENCE","WE",,,
"GMNM",,"Servient Angel WATER OF FIRE","WE",,,
"GNA",,"MEANING UNKNOWN","WE",,,
"GNAY","geh-nay","to do, does","EMPM",,,124
"GNAY",,"DO, DOES","WE",,,
"GNAY",,"DO, DOTH","WE",,,
"GNETAAB","gen-etah-ah-beh","government, only government","EMPM",,,88
