"word","pronounciation","meaning","source","source2","note","gematria"
"GNETAAB","gen-etah-ah-beh","government, only government","EMPM",,,94
"GNETAAB",,"GOVERNMENT, YOUR GOVERNMENTS","WE",,,
"GNONP",,"GARNISH, I GARNISHED","WE",,,
"GO (LE)",,"Speaks","WE","Liber Loagaeth",,
"goddess’",,,"WE",,,
"GOHED",,"ONE, EVERLASTING","WE",,,
"GOHEL",,"SAY, SAYS THE FIRST","WE",,,
"GOHIA",,"SAY, WE SAY","WE",,,
"GOHO","goh-hoh","to say, to speak","EMPM",,,69
"GOHO",,"SAY, SAYETH, SAYS","WE",,,
"GOHOL",,"SAY, SAYING","WE",,,
"GOHOLOR",,"LIFT UP","WE",,,
"GOHON",,"SAY, HAVE SPOKEN","WE",,,
"GOHULIM",,"SAY, IT IS SAID","WE",,,
"GOHUS",,"SAY, I SAY","WE",,,
"GOMZIAM",,"PART IN RII","WE",,,
"GON",,"ENOCHIAN LETTER I,Y","WE",,,
"GONO","goh-noh","faith","EMPM",,,118
"GONO",,"FAITH","WE",,,
"GONSAG",,"MEANING UNKNOWN","WE",,,
"GORS",,"praise, praises","WE","Liber Loagaeth",,
"GOSA","goh-sah","strange","EMPM",,,51
"GOSAA","goh-sah-ah","a stranger","EMPM",,,57
"GOSAA",,"STRANGER, A","WE",,,
"GR",,"Ancestors","WE","Lamen",,
"GRAA","geh-rah-ah","the Moon","EMPM",,,120
"GRAA",,"MOON","WE",,,
"GRAD",,"moonlight","WE","Liber Loagaeth",,
"GRAM",,"lunar","WE","Liber Loagaeth",,
"GRAMFA",,"full moon","WE","Liber Loagaeth",,
"GRAN",,"ELDERS, ?VAR ON 'URAN'","WE",,,
"GRANSE",,"the cry of the Elders","WE","Liber Loagaeth",,
"GRAPAD",,"Moons (pl.)","WE","Liber Loagaeth",,
"GRAPH",,"ENOCHIAN LETTER E","WE",,,
"GRONADOX",,"The wrath of God","WE","Liber Loagaeth",,
"GROSB",,"STING, A BITTER STING","WE",,,
"GZE",,"ONLY (Schuler)","WE",,,
"H",,"Na-hath (H)","WE",,,
"HA",,"meaning unknown","WE",,,
"HAATH",,"WORKS","WE",,,
"HABIORO",,"Senior MARS of AIR","WE",,,
"HABIORO","Hah-bee-oh-roh","a Senior of AIR","EMPM",,,
"HAGONEL",,"PRINCE OF HEPTARCHY","WE",,,
"HAGONEL",,"SON OF SON OF LIGHT, SATURN","WE",,,
"HAL",,"meaning unknown","WE",,,
"HAMI",,"CREATURE, LIVING CREATURES","WE",,,
"HAMI",,"CREATURES","WE",,,
"HANDA",,"the seed of God","WE","Liber Loagaeth",,
"HANZVQ",,"the will of God","WE","Liber Loagaeth",,
"HAOZPI",,"Senior VENUS IN AIR TABLET","WE",,,
"HARDIMI",,"AN ANGEL OF THE EARTH TABLET","WE",,,
"HARDIMI",,"AN ANGEL OF ORO","WE",,,
"HARG","har-geh","to plant, to sow","EMPM",,,115
"HARG",,"PLANT, HAS PLANTED","WE",,,
"HCOMA",,"WATER NAME, TABLET OF UNION","WE",,,
"HCTGA",,"A GOD-NAME OF EARTH TABLET","WE",,,
"HECOA",,"SON OF LIGHT, MARS OR JUPITER","WE",,,
"HEEOA",,"A SON OF LIGHT","WE",,,
"HELECH",,"IN OURS (?)","WE",,,
"HIPOTGA",,"Senior SATURN of AIR","WE",,,
"HMAGL",,"Kerubic Archangel EARTH OF","WE",,,
"HNLRX",,"Kerubic Archangel FIRE OF WATER","WE",,,
"HOATH","hoh-ah-teh","true worshipper, devotee","EMPM",,,41
"HOATH","hoh-ah-teh","true worshipper, devotee","EMPM",,,47
"HOATH",,"WORSHIPER, TRUE","WE",,,
"HOATH",,"WORSHIPER, THE TRUE","WE",,,
"HOL","hoh-el","to measure","EMPM",,,39
"HOLDO",,"GROANED","WE",,,
"HOLQ","hoh-el-que","are measured","EMPM",,,79
"HOLQ",,"MEASURETH","WE",,,
"HOLQ",,"MEASURE, IT IS MEASURED","WE",,,
"HOLQ",,"MEASURED","WE",,,
"HOM","hoh-meh","to live","EMPM",,,121
"HOM",,"LIVE, LIVES (verb)","WE",,,
"HOMIL",,"AGES, THE TRUE","WE",,,
"HOMIN",,"AGE, WITH AGE","WE",,,
"HOMTOH",,"TRIUMPH, VAR ON 'HOM OD TOH'","WE",,,
"HONONOL",,"Zodiacal King LEO","WE",,,
"HOXMARCH",,"FEAR","WE",,,
"HOXPOR",,"Bringing fear","WE","Liber Loagaeth",,
"HTAAD",,"Kerubic Archangel AIR OF WATER","WE",,,
"HTDIM",,"Kerubic Archangel WATER OF","WE",,,
"HTMORDA",,"Senior LUNA of AIR","WE",,,
"HTNBR",,"Kerubic Archangel EARTH OF AIR","WE",,,
"HUBAIO",,"LAMP, VAR ON HUBARO","WE",,,
"HUBAR",,"LAMPS, WITH","WE",,,
"HUBARO",,"LAMPS, THE LANTERNS","WE",,,
"HUBARO",,"LAMPS, LIVING LAMPS","WE",,,
"HUCACHA",,"meaning unknown","WE",,,
"HUSEH",,"meaning unknown","WE",,,
"HXGSD",,"Kerubic Archangel FIR E OF AIR","WE",,,
"I","ee","is, is not","EMPM",,,60
"I","Ee","(name of an angel, sol)",,,,
"I",,"Gon (I)","WE",,,
"I",,"IS","WE",,,
"I",,"SON OF LIGHT, SOL OR VENUS","WE",,,
"IA","ee-ah","truth","EMPM",,,66
"IAAASD",,"Sephirotic Cross FIRE OF WATER","WE",,,
"IABA",,"Servient Angel FIRE OF EARTH","WE",,,
"IABES",,"LORD, SUPREME LIFE","WE",,,
"IAD","ee-ah-doh","a god, God","EMPM",,,70
"IAD",,"GOD, THE GOD","WE",,,
"IAD",,"GOD","WE",,,
"IAD",,"GOD, YOUR GOD","WE",,,
"IAD",,"GOD, OUR LORD","WE",,,
"IAD",,"GOD, THE LORD","WE",,,
"IADNAH","ee-ah-deh-nah","knowledge","EMPM",,,127
"IADNAH",,"KNOWLEDGE, OF","WE",,,
"IADNAMAD",,"KNOWLEDGE, UNDEFILED K.","WE",,,
"IADOIASMOMA",,"HIM THAT WAS,IS,AND SHALL BE","WE",,,
"IADPIL",,"HIM, TO HIM","WE",,,
"IADS",,"the gods","WE","Liber Loagaeth",,
"IAHL",,"Servient Angel WATER OF EARTH","WE",,,
"IAIADIX",,"HONOR, OF","WE",,,
"IAIAL",,"CONCLUDE US","WE",,,
"IAIDA","ee-ah-ee-dah","the highest","EMPM",,,136
"IAIDA",,"HIGHEST, THE","WE",,,
"IAIDA",,"HIGHEST, OF THE","WE",,,
"IAIDON",,"GOD, THE ALL-POWERFUL","WE",,,
"IAL","ee-all","to consume","EMPM",,,74
"IALPIRGAH",,"FIRE, GOD-FLAMES","WE",,,
"IALPON",,"BURN","WE",,,
"IALPOR",,"FLAMING","WE",,,
"IALPRG","ee-al-par-geh","burning flames","EMPM",,,191
"IALPRG",,"BURNING FLAME","WE",,,
"IALPRG",,"BURNINGS FLAMES","WE",,,
"IALPRT",,"FLAME","WE",,,
"IAMHL",,"Servient Angel WATER OF EARTH","WE",,,
"IAN",,"I am the Daughter of Light (also the formal name: IAN)","WE","Liber Loagaeth",,
"IANA","Ee-ah-nah","(name of an angel)","EMPM","pg 25",,
"IANA",,"A DAUGHTER OF LIGHT","WE",,,
"IANBA",,"Servient Angel FIRE OF EARTH","WE",,,
"IAO",,"IAO","WE","Holy Table of Practice perimeter",,
"IAOD","ee-ah-oh-deh","the beginning","EMPM",,,100
"IAOD",,"BEGINNING","WE",,,
"IAOD",,"BEGINNING, THE","WE",,,
"IAOD",,"BEGINNING, THE B. OF","WE",,,
"IAODAF",,"BEGINNING, IN THE","WE",,,
"IBAH",,"A GOD-NAME OF AIR TABLET","WE",,,
"ICH",,"ELEVENTH AETHYR","WE",,,
"ICHISGE",,"AND ARE NOT","WE",,,
"ICZHIHA",,"KING OF EARTH TABLET (VAR)","WE",,,
"ICZHIHAL",,"ELEMENTAL KING OF EARTHICZHIHL KING OF EARTH TABLET (VAR)","WE",,,
"IDLUGAM",,"GIVE, IS GIVEN","WE",,,
"IDOIGO",,"HE WHO SITS ON THE HOLY THRONE","WE",,,
"IDOIGO",,"Sephirotic Cross AIR OF AIR","WE",,,
"IEH",,"merciful","WE","Liber Loagaeth",,
"IEHUSOZ",,"MERCY, HIS MERCIES","WE",,,
"IH",,"SON OF LIGHT (Silver),","WE",,,
"IHEDVTHARH",,"the fixed stars as receivers of the one spread out against the sky","WE","Liber Loagaeth",,
"IHEHUDZ",,"Childrenof the Light","WE","Liber Loagaeth",,
"IHEHVDETHA",,"the fixed stars","WE","Liber Loagaeth",,
"IHEHVSCH",,"Ecstasy, also a formal noun; a name for a star: Augoeides","WE","Liber Loagaeth",,
"IIDPO",,"Servient Angel EARTH OF WATER","WE",,,
"IIPO",,"Servient Angel EARTH OF WATER","WE",,,
"IL","ee-el","Aethyr","EMPM",,,68
"ILEMESE",,"SON OF SON OF LIGHT, LUNA","WE",,,
"ILI",,"FIRST, IN THE","WE",,,
"ILMO",,"Angel or Essence of the Sun; heart of the Sun","WE","Table of 12",,
"ILPIZ",,"Sephirotic Cross FIRE OF EARTH","WE",,,
"ILRO",,"Name from the tablet of 12","WE",,,
"ILS",,"THOU, O THOU","WE",,,
"IMUAMAR",,"ACT TOWARDS US","WE",,,
"INOAS",,"BECOME, THEY ARE BECOME","WE",,,
"INSI","ee-ness-ee","to walk on, to tread","EMPM",,,177
"INSI",,"WALKS","WE",,,
"INSI",,"WALK","WE",,,
"IOAESPM",,"3RD MINISTER OF VENUS","WE",,,
"IOIAD","ee-oh-ee-ah-deh","Eternal God","EMPM",,,160
"IOIAD",,"HIM THAT LIVES FOREVER","WE",,,
"IP","ee-peh","not","EMPM",,,69
"IP",,"NOT","WE",,,
"IPAM",,"IS NOT","WE",,,
"IPAMIS",,"CAN NOT BE","WE",,,
"IPURAN",,"SHALL NOT SEE","WE",,,
"IRGIL",,"HOW MANY","WE",,,
"ISR",,"SON OF LIGHT, VENUS OR SOL","WE",,,
"ISRO","ee-ess-roh","promise","EMPM",,,197
"ISRO",,"PROMISE, THE","WE",,,
"IUBANLADAEC",,"NAME OF AN ANGEL","WE",,,
"IUBENLADECE",,"VAR OF IUBANLADAEC","WE",,,
"IUDRA",,"MEANING UNKNOWN","WE",,,
"IVMD",,"CALL, IS CALLED","WE",,,
"IVMD",,"CALL, IS CALLED","WE",,,
"IXOMAXIP",,"KNOW, LET HER BE KNOWN","WE",,,
"IZAZAS",,"FRAME, HAVE FRAMEDIZED DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"IZINR",,"Servient Angel AIR OF EARTH","WE",,,
"IZIXP",,"Servient Angel FIRE OF EARTH","WE",,,
"IZIZOP",,"VESSELS, FROM YOUR HIGHEST","WE",,,
"IZNR",,"Servient Angel AIR OF EARTH","WE",,,
"IZXP",,"Servient Angel FIRE OF EARTH","WE",,,
"KAPENE",,"Therefore, the house is holy","WE","Liber Loagaeth",,
"L","el","first","EMPM",,,8
"L",,"Ur (L)","WE",,,
"L",,"OF THE FIRST","WE",,,
"L",,"FIRST","WE",,,
"L",,"ONE","WE",,,
"L",,"THE FIRST","WE",,,
"L",,"ALL ONE.","WE",,,
"LA",,"Of THE FIRST","WE",,,
"LABDGRE",,"6TH MINISTER OF LUNA","WE",,,
"LABNIXP",,"PART IN BAG","WE",,,
"LAF",,"MEANING UNKNOWN","WE",,,
"LAH",,"MEANING UNKNOWN","WE",,,
"LAH",,"God","WE","Liber Loagaeth",,
"LAIAD","lah-ee-ah-deh","secrets of truth","EMPM",,,84
"LAIAD",,"TRUTH, THE SECRETS OF","WE",,,
"LAIDROM",,"Senior MARS of EARTH","WE",,,
"LAM",,"except the first","WE","Liber Loagaeth",,
"LAN",,"first God","WE","Liber Loagaeth",,
"LANG",,"MINISTERING ANGELS","WE",,,
"LANGED",,"the first utterance","WE","Liber Loagaeth",,
"LANSH",,"POWER, IN POWER EXALTED","WE",,,
"LAOAXRP",,"Senior LUNA of WATER","WE",,,
"LAP",,"FOR","WE",,,
"LAP",,"FOR","WE",,,
"LAPARIN",,"PART IN ZIM","WE",,,
"LARAG",,"NOR","WE",,,
"LARAG",,"NEITHER","WE",,,
"LAS",,"RICH, THE","WE",,,
"LASBEN",,"NAME OF AN ANGEL","WE",,,
"LASCO",,"strong foundation","WE","Liber Loagaeth",,
"LASDI",,"FEET, MY","WE",,,
"LAUACON",,"PART IN LEA","WE",,,
"LAVA",,"PRAY","WE",,,
"LAVAVOTH",,"Zodiacal King ARIES","WE",,,
"LAX",,"Abbreviation for Alt. Part in LIN; Angel of the East","WE","Liber Loagaeth",,
"LAXDIZI",,"ALT. PART IN LIN","WE",,,
"LAZDIXI",,"PART IN LIT","WE",,,
"LBBNAAV",,"2ND MINISTER OF VENUS","WE",,,
"LE",,"phrase: ‘first,the Daughter of Light’","WE","Liber Loagaeth",,
"LEA",,"SIXTEENTH AETHYR","WE",,,
"LEAOC",,"Servient Angel WATER OF WATER","WE",,,
"LEAORIB",,"4TH MINISTER OF SOL","WE",,,
"LED",,"first, the Daughter of Light to the East","WE","Liber Loagaeth",,
"LEENARB",,"1ST MINISTER OF SOL","WE",,,
"LEFA",,"frist, the Daughter of Light visits the interior","WE","Liber Loagaeth",,
"LEFE",,"first, the Daughter of Light appears","WE","Liber Loagaeth",,
"LEHUSAN",,"MEANING UNKNOWN","WE",,,
"LEHUSLACH",,"MEANING UNKNOWN, SEE LEHUSAN","WE",,,
"LEL",,"SAME, THE SAME","WE",,,
"LEN",,"presense of the Daughter of Light","WE","Liber Loagaeth",,
"LENGES",,"the 22 nd Aethyr is not the fourth","WE","Liber Loagaeth",,
"LEOC",,"Servient Angel WATER OF WATER","WE",,,
"LEOHA",,"First, the Daughter of Light in woe","WE","Liber Loagaeth",,
"LEOZ",,"First, the Daughter of Light beholds the Son of Son of Light","WE","Liber Loagaeth",,
"LEPHE",,"meaning unknown","WE",,,
"LESCO",,"first, the Daughter of Light with 5","WE","Liber Loagaeth",,
"LESGAMPH",,"first, the watery loins of the Daughter of Light","WE","Liber Loagaeth",,
"LEVANAEL",,"ANGEL OF LUNA","WE",,,
"LEVITHMONG",,"BEASTS OF THE FIELD, FOR THE","WE",,,
"LEXARPH",,"PART IN ZAX","WE",,,
"LGAIOL",,"Senior VENUS of WATER TABLET","WE",,,
"LHCTGA",,"Senior VENUS of EARTH TABLET","WE",,,
"LI",,"FIRST - VAR ON 'ILI'","WE",,,
"LIALPRT","lee-al-par-teh","the First Glame","EMPM",,,200
"LIBA",,"SON OF SON OF LIGHT, MARS","WE",,,
"LIGDISA",,"Senior SATURN of WATER","WE",,,
"LIIANSA",,"Senior SAT of EARTH","WE",,,
"LIL",,"THE FIRST AIRE","WE",,,
"LIL",,"FIRST AETHYR","WE",,,
"LILONON",,"BRANCHES","WE",,,
"LIMLAL","lee-em-lah-leh","treasure","EMPM",,,180
"LIMLAL",,"TREASURE, HIS","WE",,,
"LIN",,"22ND AETHYR","WE",,,
"LIT",,"FIFTH AETHYR","WE",,,
"LIXIPSP",,"WARDEN OF AETHYR 'BAG'","WE",,,
"LLACZA",,"Sephirotic Cross WATER OF AIR","WE",,,
"LML",,"TREASURE","WE",,,
"LN",,"the, that","WE","Holy Table of Practice perimeter",,
"LN-NIA-O",,"THE BEAST (Shueler?)","WE",,,
"LNANAEB",,"2ND MINISTER OF SOL","WE",,,
"LO",,"FIRST, THE","WE",,,
"LO",,"THE FIRST","WE",,,
"LOADOHI",,"KINGDOM, VAR ON 'LONDOH'","WE",,,
"LOAGAETH",,"SPEECH FROM GOD, VAR. 1","WE",,,
"LOE",,"TWELFTH AETHYR","WE",,,
"LOGAAH",,"SPEECH FROM GOD, VAR. 3","WE",,,
"LOGAETH",,"SPEECH FROM GOD, VAR. 2","WE",,,
"LOGAH",,"SPEECH FROM GOD, VAR. 4","WE",,,
"LOH",,"beams","WE","Liber Loagaeth",,
"LOHOLO",,"SHINES","WE",,,
"LOLCIS",,"BUCKLERS (SHIELDS)","WE",,,
"LONCHO",,"FALL","WE",,,
"LONDOH","loh-en-doh","kingdoms","EMPM",,,123
"LONDOH",,"KINGDOMS","WE",,,
"LONDOH",,"KINGDOMSLONSA POWER","WE",,,
"LONSA","loh-en-sah","everyone","EMPM",,,101
"LONSHI","loh-en-ess-hee","power","EMPM",,,156
"LONSHI",,"POWER, THE","WE",,,
"LONSHI",,"POWER","WE",,,
"LONSHIN",,"POWER, THEIR POWERS","WE",,,
"LORSLQ","loh-ress-el-que","flowers","EMPM",,,193
"LORSLQ",,"FLOWERS","WE",,,
"LRASD","el-rah-ess-deh","to dispose of, to eliminate","EMPM",,,125
"LRASD",,"DISPOSE, TO","WE",,,
"LRING",,"STIR UP","WE",,,
"LRL",,"‘first changing one’; God; movement; work","WE","Table of 12",,
"LRL",,"‘first changing one’; God; movement; work","WE","Holy Table of Practice perimeter",,
"LRS",,"'to charge' (either as in a talisman or as in marching forward), 'to rid or banish' and 'to change or alter'","WE","Holy Table of Practice perimeter",,
"LSEANN",,"The Ecliptic","WE","Lamen",,
"LSRAHPM",,"Senior MARS of WATER","WE",,,
"LSSN",,"constellations, lords","WE","Holy Table of Practice perimeter",,
"LUACH",,"PRAISING ANGELS, VAR. 2","WE",,,
"LUAH",,"PRAISING ANGELS, VAR. 1","WE",,,
"LUCAL",,"NORTH, IN THE NORTH","WE",,,
"LUCIFTIAN",,"BRIGHTNESS, THE","WE",,,
"LUCIFTIAN",,"BRIGHTNESS, ORNAMENTS OF","WE",,,
"LUIAHE",,"HONOR, A SON OF","WE",,,
"LULO",,"TARTAR OR MOTHER OF VINEGAR","WE",,,
"LURFANDO",,"MEANING UNKNOWN","WE",,,
"LUSD","luh-ess-deh","feet","EMPM",,,89
"LUSD",,"FEET, YOUR","WE",,,
"LUSDA",,"FEET, THEIR","WE",,,
"LUSDAN",,"FEET, WITH","WE",,,
"LUSEROTH",,"MEANING UNKNOWN","WE",,,
"lutudah",,"thrice great","WE","Liber Loagaeth",,
"LVCE",,"the North Star","WE","Liber Loagaeth",,
"LVMRAD",,"all named to the East are the third","WE","Liber Loagaeth",,
"LZINOPO",,"Senior LUNA of EARTH","WE",,,
"M",,"Tal (M)","WE",,,
"M",,"EXCEPT","WE",,,
"M",,"OF (Schuler)","WE",,,
"M",,"except, 9","WE","Holy Table of Practice perimeter",,
"MA",,"possess","WE","Liber Loagaeth",,
"MAAH",,"hidden god","WE","Liber Loagaeth",,
"MAASI",,"laid up (stored)","WE",,,
"MABBERAM",,"meaning unknown","WE",,,
"MABETH",,"expanse, the","WE","Liber Loagaeth",,
"MABZA",,"coat, the","WE",,,
"MACOM",,"encompass","WE",,,
"MAD","mah-deh","god, your god","EMPM",,,100
"MAD",,"god, your","WE",,,
"MAD",,"god, of","WE",,,
"MAD",,"god, your","WE",,,
"MAD",,"god, of your","WE",,,
"MADIMI",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"MADIMIEL",,"ANGEL OF MARS","WE",,,
"MADOL",,"God’s creation","WE","Liber Loagaeth",,
"MADRIAX",,"heaven, you heavens","WE",,,
"MADRID",,"iniquity, her","WE",,,
"MADRID",,"iniquities","WE",,,
"MADRIIAX",,"heaven, you heavens","WE",,,
"MADZILODARP",,"GOD OF STRETCH- FORTH- AND- CONQU 327","WE",,,
"MAGL",,"Kerubic Angel EARTH OF WATER","WE",,,
"MAGM",,"Servient Angel WATER OF WATER","WE",,,
"MAH",,"In Darkness","WE","Liber Loagaeth",,
"MAHAD",,"the third is in darkness","WE","Liber Loagaeth",,
"MAHORELA",,"dark heavens (crowley)","WE",,,
"MAIM",,"continuance","WE",,,
"MAL","mah-el","arrow","EMPM",,,104
"MAL",,"Shortened spelling of the Enochian letter P, 8","WE","Liber Loagaeth",,
"MALADI",,"Sephirotic Cross EARTH OF WATER","WE",,,
"MALGM",,"Servient Angel WATER OF WATER","WE",,,
"MALPIRGI",,"fires of life and increase","WE",,,
"MALPRG",,"fire, through-thrusting","WE",,,
"MALPRG",,"fiery darts","WE",,,
"MALS",,"ENOCHIAN LETTER P","WE",,,
"MAN",,"root of 'in the mind' or ‘subtle body’","WE","Holy Table of Practice perimeter",,
"MANCH",,"in the mind of God/Universal Mind","WE","Liber Loagaeth",,
"MANGET",,"descended of God","WE","Liber Loagaeth",,
"MANIN",,"mind, in the","WE",,,
"MANO",,"the soul of humanity","WE","Liber Loagaeth",,
"MAOFFAS",,"measure, not to be measured","WE",,,
"MAPM",,"9639","WE",,,
"MAPSAMA",,"ANGEL'S NAME, 'TELL THEM'","WE",,,
"MAR",,"the Magickal Childe","WE","Liber Loagaeth",,
"MARA",,"the Son of Light with the Daughter of Light","WE","Liber Loagaeth",,
"MARADON",,"the Son of Light unites with the Daughter of Light","WE","Liber Loagaeth",,
"MARB",,"according","WE",,,
"MARLAN",,"Son of Light","WE","Liber Loagaeth",,
"MARS",,"the Son of Light is the fourth","WE","Liber Loagaeth",,
"MARTIBAH",,"the Magickal Childe is the sacrifice unto the higher self","WE","Liber Loagaeth",,
"MARUNE",,"the Son of Light joins the Daughter of Light","WE","Liber Loagaeth",,
"MATA",,"millenia","WE","Liber Loagaeth",,
"MATB",,"thousand, a","WE",,,
"MATHULA",,"PART IN ZAA","WE",,,
"MATORB",,"echoing (acc. to Laycock)","WE",,,
"MAX",,"of the dissolution","WE","Liber Loagaeth",,
"MAZ","mah-zod","appearance","EMPM",,,99
"MAZ","mah-zod","appearance","EMPM",,,105
"MAZ",,"SIXTH AETHYR","WE",,,
"ME","Meh","(name of an angel)","EMPM","pg 25",,
"ME",,"DAUGHTER OF LIGHT","WE",,,
"MECASMAN",,"mighty or powerful soul; highest soul; highest heaven","WE","Liber Loagaeth",,
"MED",,"ENOCHIAN LETTER O","WE",,,
"MED",,"the star of five","WE","Liber Loagaeth",,
"MEL-",,"F to speedily encounter (schuler)","WE",,,
"MERIFRI",,"angel","WE",,,
"MI","mee","power","EMPM",,,150
"MIAM",,"continuance","WE",,,
"MIAM",,"continuance","WE",,,
"MIAM",,"continuance, long cont.","WE",,,
"MIAN",,"3663","WE",,,
"MICALP",,"mightier","WE",,,
"MICALZO",,"power, in power","WE",,,
"MICAOLI",,"mighty","WE",,,
"MICAOLZ",,"mighty","WE",,,
"MICAOLZ",,"mighty","WE",,,
"MICES",,"Countenance of the Daughter of Light","WE","Liber Loagaeth",,
"MICMA",,"behold","WE",,,
"MICMA",,"behold","WE",,,
"MIINOAG",,"corner, the corners","WE",,,
"MIKETH",,"wisdom","WE",,,
"MINODAL",,"one who is cornered","WE","Liber Loagaeth",,
"MIR",,"torment, a","WE",,,
"MIRC",,"upon","WE",,,
"MIRC",,"upon","WE",,,
"MIRZIND",,"PART IN UTI","WE",,,
"MLU",,"surge, outpouring","WE",,,
"MOLAP","moh-lah-peh","men","EMPM",,,143
"MOLAP",,"men, of","WE",,,
"MOLPAND",,"PART IN ICH","WE",,,
"MOLUI",,"surges","WE",,,
"MOM",,"moss","WE",,,
"MOMAO",,"crown, the crownsMOMAR crown, to crown","WE",,,
"MONASCI",,"name, the great name","WE",,,
"MONONS",,"heart, the","WE",,,
"MOOOAH","moh-oh-oh-ah","it rejoices me","EMPM",,,187
"MOOOAH",,"it repenteth me","WE",,,
"MOR",,"A GOD-NAME OF EARTH TABLET","WE",,,
"MOR",,"DIAL HCTGA GOD-NAMES OF EARTH","WE",,,
"MOREORGRAN",,"NAME OF AN ANGEL","WE",,,
"MOROH",,"the appearance of the 9 woes","WE","Liber Loagaeth",,
"MORVORGRAN",,"VAR OF MOREORGRAN","WE",,,
"MOSPLEH","moh-seh-pel-eh-heh","horns","EMPM",,,155
"MOSPLEH",,"horn, the horns","WE",,,
"MOZ","moh-zod","joy","EMPM",,,123
"MOZ","moh-zod","joy","EMPM",,,129
"MOZ",,"joy","WE",,,
"MOZOD",,"joy of god","WE",,,
"MPH",,"A GOD-NAME OF WATER TABLET","WE",,,
"MPH",,"ARSL GOD-NAMES OF WATER TABLET","WE",,,
"MSAP",,"Servient Angel FIRE OF EARTH","WE",,,
"MSMAP",,"Servient Angel FIRE OF EARTH","WE",,,
"MURIFRI",,"angel","WE",,,
"MUZPA",,"These are with Joy","WE","Liber Loagaeth",,
"N",,"Drun (N)","WE",,,
"NA",,"ENOCHIAN LETTER H","WE",,,
"NA",,"LORD OF HOSTS, TRINITY","WE",,,
"NA",,"(also, the formal name NA)","WE","Liber Loagaeth",,
"NA-",,"HATH ENOCHIAN LETTER H","WE",,,
"NAB",,"The Infinite God","WE","Liber Loagaeth",,
"NABAOMI",,"PART IN ZEN","WE",,,
"NACO",,"Servient Angel EARTH OF AIR","WE",,,
"NACRO",,"renewal or resurrection","WE","Liber Loagaeth",,
"NAD",,"the Holy Spirit","WE","Liber Loagaeth",,
"NADO",,"fiery God","WE","Liber Loagaeth",,
"NAGEL",,"the Lord of Hosts is self-begotten","WE","Liber Loagaeth",,
"NAH",,"glorious","WE","Liber Loagaeth",,
"NAHA",,"Glory of God","WE","Liber Loagaeth",,
"NAI",,"meaning unknown","WE",,,
"NALVAGE",,"NAME OF AN ANGEL","WE",,,
"NANAEEL",,"POWER, MY POWER","WE",,,
"NANBA","nah-en-beh","thorns","EMPM",,,117
"NANBA",,"THORNS","WE",,,
"NANTA",,"EARTH NAME, TABLET OF UNION","WE",,,
"NAOCO",,"Servient Angel EARTH OF AIR","WE",,,
"NAP",,"sword","WE","Liber Loagaeth",,
"NAPEA","nah-peh-ah","two-edged sword","EMPM",,,81
"NAPEAI",,"SWORD, O YE SWORDS","WE",,,
