"word","meaning","source","note"
"PANLI","Servient Angel FIRE OF FIRE",,
"PANOSCH","there are 12 pouring down","Liber Loagaeth",
"PANPIR","pouring down",,
"PANGEPI","She who is NOT, pouring down","Liber Loagaeth",
"PAOC","Servient Angel WATER OF AIRPAOMBD members, her (poss.""limbs""?)",,
"PAPBOR","remember, to this remembrance",,
"PAPHRES","praising the Lord of Hosts in rememberance","Liber Loagaeth",
"PAPNOR","to this remembrance (alt.sp.)",,
"PAR","in them",,
"PARACH","equal",,
"PARACLEDA","wedding, for a",,
"PARADIAL","dwellings, living",,
"PARADIZ","virgins",,
"PARAOAN","part in lin",,
"PARM","run",,
"PARMGI","run, let it run",,
"PARNIX","the daughters reside in the 4 th","Liber Loagaeth",
"PARSA","with the Son of Son of Light in the 4 th","Liber Loagaeth",
"PARSODAN","the Son of Son of Light (Mercury) in the 4 th","Liber Loagaeth",
"PART","also in them","Liber Loagaeth",
"PARZIBA","part in chr",,
"PASBS","daughters, the",,
"PASCOMB","PART IN LIL",,
"PASDAES","profess the truth","Liber Loagaeth",
"PASMT","Kerubic Archangel FIRE OF EARTH",,
"PATAX","Servient Angel AIR OF WATER",,
"PATRALX","ROCK",,
"PAULACARP","NAME OF AN EVIL SPIRIT",,
"PAX","keep the one","Liber Loagaeth",
"PAZ","FOURTH AETHYR",,
"PD","33",,
"PDOCE","A GOD-NAME OF FIRE TABLET",,
"PE","PE, ENOCHIAN LETTER 'B'",,
"PE","The eight Daughters of Light","Lamen",
"PELE","HE WHO WORKS WONDERS",,
"PELEH","MEANING UNKNOWN",,
"PENGON","the voice of the eight Daughters of Light","Liber Loagaeth",
"PEOAL","69636",,
"PERAL","GARNISH, ARE GARNISHED",,
"PERIPSAX","HEAVENS, WITH THE",,
"PERIPSOL","HEAVENS, OF THE",,
"PERIPSOL","HEAVENS, IN THE BRIGHTNESS OF",,
"PHAMA","I WILL GIVE",,
"PHAMAH","GIVE, VAR ON 'PHAMA'",,
"PHANAEL","NAME OF AN ANGEL",,
"PHAR","surrender","Liber Loagaeth",
"PHE","the eight Daughters of Light","Liber Loagaeth",
"PHRA","Kerubic Angel WATER OF EARTH",,
"PI","PLACE",,
"PI","SHEPIAD YOUR GOD (alt.sp.)",,
"PIADPH","JAWS, IN THE DEPTHS OF",,
"PIAMOS","RIGHTEOUSNESS, OF",,
"PIAP","BALANCE, THE",,
"PIBLIAR","PLACES OF COMFORT",,
"PIDIAI","MARBLE",,
"PILAH","MOREOVER",,
"PILD","CONTINUALLY",,
"PILZIN","FIRMAMENT OF WATERS",,
"PINZU-","A MEANING UNKNOWN",,
"PIR","HOLY ONES",,
"PIRIPSON","HEAVEN, THE THIRD",,
"PL","partakers, ‘as many’","Holy Table of Practice perimeter",
"PLAPLI","PARTAKERS",,
"PLIGNASE","The eternal cry","Liber Loagaeth",
"PLOSI","AS MANY",,
"PMOX","Servient Angel FIRE OF AIR",,
"PMZOX","Servient Angel FIRE OF AIR",,
"POAMAL","PALACE, OF YOUR",,
"POCISNI","PART IN BAG",,
"POCNC","Kerubic Archangel EARTH OF",,
"POHO","eightfold law","Liber Loagaeth",
"POILP","DIVIDE, ARE DIVIDED",,
"POLA","TWO (TOGETHER), PAIR",,
"PONODOL","PART IN ICH",,
"POP","NINTEENTH AETHYR",,
"POPHAND","PART IN DES",,
"PORTEX","separate sun of God","Liber Loagaeth",
"POTHNIR","PART IN PAZ",,
"PPSAC","Kerubic Archangel EARTH OF FIRE",,
"PRAC","dwelling in","Liber Loagaeth",
"PRAF","dwell",,
"PRAGMA","dwell (?)",,
"PRAP","balance",,
"PRAS","unite","Liber Loagaeth",
"PRDZAR","diminish",,
"PRES","praise","Liber Loagaeth",
"PRGE","fire, with the fire",,
"PRIAZ","those",,
"PRIAZI","those, with those",,
"PRISTAC","PART IN ZID",,
"PS","cubed","Lamen",
"PSAC","Kerubic Angel EARTH OF FIRE",,
"PSEA","THE WAY (Schuler)",,
"PUGO","AS UNTO",,
"PUIM","SICKLES, SHARPPURGEL FIRE OF FIRE",,
"PZIZA","Kerubic Archangel FIRE OF FIRE",,
"Q","Ger (Q)",,
"Q","OR",,
"QAA","GARMENTS, YOUR",,
"QAA","CREATION, OF YOUR",,
"QAADAH","CREATOR, OF THE",,
"QAAL","CREATOR, THE",,
"QAAN","CREATION, OF YOUR",,
"QAANIS","OLIVES (alt.sp.)",,
"QAAON","CREATION, IN YOUR",,
"QAAS","CREATION, YOUR",,
"QANIS","OLIVES",,
"Q-","COCASB TIME, THE CONTENTS OF",,
"QTING","ROTTEN, THE",,
"QUAR","1636",,
"QUASAHI","PLEASURE, OF",,
"QUASB","DESTROY",,
"QUIIN","WHEREIN",,
"QURLST","HANDMAID, A",,
"R","Don (R)",,
"RA","east","Lamen",
"RAAGIOL","KING OF WATER TABLET (VAR)",,
"RAAGIOS","KING OF WATER TABLET (VAR)",,
"RAAGIOSL","ELEMENTAL KING OF WATER TABLET",,
"RAAS","east, the",,
"RAASY","east, into the",,
"RACLIR","weeping",,
"RANGLAM","PART IN UTI",,
"RBNH","Servient Angel WATER OF AIR",,
"RBXNH","Servient Angel WATER OF AIR",,
"REST","PRAISE",,
"RESTEL","THAT YOU MAY PRAISE HIM",,
"RGAN","Servient Angel EARTH OF FIRE",,
"RGOAN","Servient Angel EARTH OF FIRE",,
"RII","29TH AETHYR",,
"RIOR","WIDOW, OF A",,
"RIPIR","NO PLACE",,
"RIT","MERCY, OF",,
"RIT","MERCY, OF",,
"RLEMU","Servient Angel WATER OF EARTH",,
"RLMU","Servient Angel WATER OF EARTH",,
"RLODNR","RLU furnace ( ?), crucible (?)",,
"RLU","'is moving’; completed; ending","Table of 12",
"RLU","‘not moving’, ‘not-ing’ or ‘making into not (non-existence)’, destroying","Holy Table of Practice perimeter",
"RNAH","sunrise","Liber Loagaeth",
"RNDIL","Servient Angel FIRE OF WATER",,
"RNIL","Servient Angel FIRE OF WATER",,
"RO","3 rd minister of Sol (a Son of Son of Light (Jupiter) [cf. Rocle on 7x7 Tablet]","Liber Loagaeth",
"ROCLE","SON OF SON OF LIGHT, JUPITER",,
"ROEMNAB","3RD MINISTER OF SOL",,
"RONOOMB","PART IN TOR",,
"ROR","sun",,
"ROWGH","meaning unknown",,
"ROXTAN","wine",,
"RSAM","admiration",,
"RSNI","Servient Angel AIR OF EARTH",,
"RSONI","Servient Angel AIR OF EARTH",,
"RV","Angel of the East","Liber Loagaeth",
"AMRVH","The power and presence of the Lord of Hosts in the angel of the East","Liber Loagaeth",
"RUDNA","meaning unknown",,
"RVOI","Servient Angel WATER OF WATER",,
"RVROI","Servient Angel WATER OF WATER",,
"RXAO","Servient Angel EARTH OF EARTHRXPAO Servient Angel EARTH OF EARTH",,
"RZIONR","Sephirotic Cross FIRE OF FIRE",,
"RZLA","Kerubic Angel AIR OF AIR",,
"S","Fam (S)",,
"S","FOURTH",,
"S","DAUGHTER OF DAUGHTER OF LIGHT",,
"Servient","Angel AIR OF WATER",,
"SAANIR","PARTS, BY HER",,
"SAANIR","PARTS, IN THE",,
"SABA","WHOSE, VAR ON 'SOBA'",,
"SABULAN","who proclaims","Liber Loagaeth",
"SACH","CONFIRMING ANGELS",,
"SADGLA","the Daughter of Light is God’s glory","Liber Loagaeth",
"SAGA","ONE, ENTIRE, WHOLE",,
"SAGACIY","3RD MINISTER OF MARS",,
"SAGACOR","NUMBER, IN ONE",,
"SAIINOU","Senior JUPITER of WATER",,
"SAIX","Servient Angel AIR OF WATER",,
"SALBROX","SULPHUR, LIVE SULPHUR",,
"SALD","WONDER, OF",,
"SALMAN","HOUSE, THE",,
"SALMAN","HOUSE, A",,
"SALMAN","HOUSE",,
"SAMA","the 4 th possesses","Liber Loagaeth",
"SAMAPHA","PART IN ZOM",,
"SAMHAMPORS","the righteous creatures of the Sun of God are separated from the 4th","Liber Loagaeth",
"SAMVELG","RIGHTEOUS, TO THE",,
"SANGEF","Sangef (the Master Magickian)","Liber Loagaeth",
"SAPAH","SOUNDS, THE MIGHTY",,
"SAPPOH","the mighty ogdoad","Liber Loagaeth",
"SAXTOMP","PART IN MAZ",,
"SAXX","the 4 th dissolves","Liber Loagaeth",
"SAZIAMI","PART IN ZAA",,
"SCIO","Servient Angel AIR OF FIRE",,
"SCMIO","Servient Angel AIR OF FIRE",,
"SE","mourning, cry","Holy Table of Practice perimeter",
"SEBO","separation","Liber Loagaeth",
"SEBRA","warning","Liber Loagaeth",
"SEDLO","cry gives us the 5 –or- cry gives us the Holy Pentagram","Liber Loagaeth",
"SEMBABAM","MEANING UNKNOWN",,
"SEMELIEL","ANGEL OF SOL ???",,
"SEMEROH","MEANING UNKNOWN",,
"SEMELABUGEN","Semeliel, the angel of the Lord is made strong by the Daughter of Light.","Liber Loagaeth",
"SEMNA","nine cries of God","Liber Loagaeth",
"SENDENNA","NAME OF AN EVIL SPIRIT, VAR 1",,
"SER","MOURNING, LAMENTATION",,
"SESQVI","the cry of the 4 th , wherein is.../Wherein is the cry of the Daughter of Light","Liber Loagaeth",
"SFAMLLB","3RD MINISTER OF MERCURY",,
"SHAL","Servient Angel EARTH OF AIR",,
"SHIAL","Servient Angel EARTH OF AIR",,
"SIAION","TEMPLE, OF THE",,
"SIAS","Servient Angel AIR OF AIR",,
"SIATRIS","SCORPIONS",,
"SIBSI","COVENANT, THE",,
"SIGAS","Servient Angel AIR OF AIR (VAR)",,
"SIGMORF","PART IN TAN",,
"SIH","the temple and covenant of God","Liber Loagaeth",
"SIODA","Sephirotic Cross EARTH OF FIRE",,
"SIOSP","Servient Angel FIRE OF FIRE",,
"SISP","Servient Angel FIRE OF FIRE",,
"SLGAIOL","Senior VENUS of WATER",,
"SMAN-","N ITS REPRESENTATIVE",,
"SMNAD","ANOTHER",,
"SNICOL","the Seven Sheaths","Liber Loagaeth",
"SOAGEEL","PART IN NIA",,
"SOBA","WHOSE",,
"SOBAM","WHOM",,
"SOBOLN","WEST, IN THE",,
"SOBOLZAR","WHOSE COURSES (alt.sp.)",,
"SOBRA","WHOM, IN WHOSE",,
"SOCHIAL","PART IN LEA",,
"SOLPETH","HEARKEN UNTO",,
"SONDENNA","NAME OF EVIL SPIRIT, VAR 2",,
"SONDN","Sephirotic Cross WATER OF EARTH",,
"SONF","REIGN",,
"SONF","REIGNS",,
"SONIZNT","Senior MERCURY of WATER",,
"SOR","ACTION",,
"SOYGA","WILL OF GOD, SAINTLY",,
"SPA","the Daughter of Light keeps","Liber Loagaeth",
"SRAHPM","Senior MARS of WATER TABLET",,
"STIM","Servient Angel FIRE OF EARTH",,
"STIMCUL","DAUGHTER OF LIGHT",,
"STIMCUL","SON OF LIGHT, SATURN OR LUNA",,
"STRIM","Servient Angel FIRE OF EARTH",,
"SUDSAMMA","KELLY'S GOOD ANGEL",,
"SUNDENNA","NAME OF EVIL SPIRIT, VAR 3",,
"SURZAS","SWEAR, HE HAS SWORN",,
"SYMP","ANOTHER",,
"T","Gisa (T)",,
"T","IT",,
"T","ALSO",,
"TA","AS",,
"TAAD","Kerubic Angel AIR OF WATER",,
"TABA","GOVERN",,
"TABAAM","GOVERNOR, THE",,
"TABAORD","GOVERN, LET HER BE GOVERNED",,
"TABAORI","GOVERN",,
"TABAORI","GOVERN",,
"TABAS","GOVERN",,
"TABGES","CAVES",,
"TABITOM","PART IN ZAX",,
"TAHAMDO","PART IN OXO",,
"TAHAOELOI","GREAT ELEMENTAL KING OF AIR",,
"TAL","ENOCHIAN LETTER M",,
"TALHO","CUPS",,
"TAN","SEVENTEENTH AETHYR",,
"TAOAGLA","PART IN TEX",,
"TAPAMAL","PART IN LOE",,
"TASTOXO","PART IN OXO",,
"TATAN","WORMWOOD",,
"TDIM","Kerubic Angel WATER OF WATER",,
"TEAA","A GOD-NAME OF FIRE TABLET",,
"TEDOOND","PART IN UTA",,
"TELOAH","DEATH, VAR ON 'TELOCH'",,
"TELOCH","DEATH, OF",,
"TELOCH","DEATH, OF",,
"TELOCH","DEATH",,
"TELOCVOVIM","DEATH-DRAGON",,
"TEMPA","the exception of death is life","Liber Loagaeth",
"TEX","30TH AETHYR",,
"THAHAAOTAHE","GREAT ELEMENTAL KING OF EARTH",,
"THAHEBIOBEE","ATAN GREAT ELEMENTAL KING OF WATER",,
"THIL","SEATS",,
"THILD","SEATS, THEIR OWN",,
"THILN","SEATS, IN",,
"THOTANP","PART IN PAZ",,
"TIA","UNTO US",,
"TIANTA","BED, THE",,
"TIARPAX","PART IN LIT",,
"TIBIBP","SORROW, OF",,
"TILB","HER, OF",,
"TILB","HERTIO TOP LINE OF TABLET OF 12 SQUAR",,
"TIOBL","HER, IN",,
"TIOBL","HER, IN",,
"TLB","HIM, OF",,
"TLIOB","SEPARATE (verb)",,
"TNBR","Kerubic Angel EARTH OF AIR",,
"TOANTOM","PART IN ASP",,
"TOATAR","HARKEN",,
"TOCARZI","PART IN TAN",,
"TOCO","Servient Angel AIR OF WATER",,
"TODNAON","PART IN ZID",,
"TOFGLO","THINGS, ALL",,
"TOGCO","Servient Angel AIR OF WATER",,
"TOH","TRIUMPHS",,
"TOHCOTH","FAERIES",,
"TOHOMAPHALA","NAME OF A GUARDIAN ANGEL",,
"TOITT","Servient Angel AIR OF AIR (VAR)",,
"TOL","ALL",,
"TOL","ON ALL",,
"TOLTORG","CREATURES OF EARTH, THE",,
"TOLTORGI","CREATURES, WITH HER",,
"TOLTORN","CREATURES",,
"TOLTORN","CREATURE",,
"TON","ALL, VAR. ON 'TOL'",,
"TONUG","DEFACE, LET THEM BE DEFACED",,
"TOOAT","FURNISHING",,
"TOR","23RD AETHYR",,
"TORGU","ARISE (alt.sp.)",,
"TORZOXI","PART IN POP",,
"TORZU","ARISE",,
"TORZUL","RISE, SHALL",,
"TORZULP","RISE, ROSE UP",,
"TOTOCAN","PART IN CHR",,
"TOTT","Servient Angel AIR OF AIR",,
"TOX","HIM, OF",,
"TPRDEMAH","of darkness","Liber Loagaeth",
"TRANAN","MARROW, THE",,
"TRIAN","SHALL BE",,
"TRIAN","SHALL BE",,
"TRINT","SIT",,
"TROF","BUILDING, A",,
"TULE","TULE Name from T12Sqr",,
"‘It","ends with [the goddess] El’; ‘Completed by the goddess’ or ‘Ending with the","Table of 12",
"goddess’",,,
"TULE","ILRO LETTERS OF T12SQR",,
"TURBS","BEAUTY, IN THEIR",,
"TUSTAX","GOING",,
"TZESTS","Being of the 4",,
"U","U Val (U, V, W)",,
"V","star","Liber Loagaeth",
"VA","spirit of Vaa","Liber Loagaeth",
"VAA","NAME OF AN ANGEL",,
"VAA","(angel of the 4 moons)","Liber Loagaeth",
"VAASA","Servient Angel FIRE OF WATER",,
"VABZIR","eagle, the",,
"VADALI","Sephirotic Cross WATER OF FIRE",,
"VADGS","time","Liber Loagaeth",
"VADALI","Sephirotic Cross WATER OF FIRE",,
"VALGARS","PART IN LIL",,
"VAMI","the way of the Lord","Liber Loagaeth",
"VAN","ENOCHIAN LETTER V,U",,
"VAN","star","Liber Loagaeth",
"VANA","starry, stars","Liber Loagaeth",
"VANDEMINAXAT","constellations","Liber Loagaeth",
"VANDRES","the Scepter of the Daughter of Daughter of Light","Liber Loagaeth",
"VANGEM","the will of heaven","Liber Loagaeth",
"VANGET","not the fourth star","Liber Loagaeth",
"VANGLOR","fruit of heaven","Liber Loagaeth",
"VANS","fourth star","Liber Loagaeth",
"VANSAMPLE","the fabric of stars","Liber Loagaeth",
"VANSAX","the circle of stars","Liber Loagaeth",
"VAOAN","truth",,
"VAR","that star, the star in 9","Liber Loagaeth",
"VARCA","spiritual sun","Liber Loagaeth",
"VARO","Va’aro (from Loagaeth: Leaf 1A vs. 10)","Liber Loagaeth",
"VARSG","Servient Angel AIR OF FIRE",,
"VAS","angel of Daughter of Light","Liber Loagaeth",
"VASA","Servient Angel FIRE OF WATER",,
"VASG","Servient Angel AIR OF FIRE",,
"VASTRIM","PART IN RII",,
"VAU","ENOCHIAN LETTER V,U",,
"VAUL","work",,
"VAUN","work, that ye might",,
"VAVAAMP","PART IN MAZ",,
"VAX","orbit","Liber Loagaeth",
"VBRAH","guardian star","Liber Loagaeth",
"UCIM","they frown not",,
"VD","third star","Liber Loagaeth",
"VDRIOS","the Zodiac","Liber Loagaeth",
"VE","the spark of life","Liber Loagaeth",
"VEH","VEH, ENOCHIAN LETTER C OR K",,
"VELUCORSAPA","ENTHRONED",,
"VEP","flame, as a",,
"VEROX","the Holy Spirit","Liber Loagaeth",
"UGEAR","strength, the s. of men",,
"UGEG","strong, grow",,
"UGEG","strong, waxes",,
"UGEG","strong, become",,
"VICAP","meaning unknown",,
"VIROOLI","PART IN ZOM",,
"VIRQ","nests",,
"VIRUDEN","I have beautified (Crowley)",,
"VIV","second",,
"VIV","in the second",,
"VIV","the second",,
"VIVIPOS","PART IN UTA",,
"VIXPALG","PART IN ASP",,
"UL","end",,
"ULCININ","happy is he",,
"VLLA","the end of the beginning","Liber Loagaeth",
"VLOH","the end of sorrow","Liber Loagaeth",
"ULR","Name from T12Sqr",,
"ULS","ends, the",,
"UM","called, named, var on 'vmd'",,
"UMADEA","towers, strong",,
"UMBLOSDA","one who resides in the skies","Liber Loagaeth",
"UML","add",,
"UMPLIF","strength, our",,
"UN","ENOCHIAN LETTER A",,
"VNAEM","nine skirts","Liber Loagaeth",
"UNAL","these",,
"UNALAB","skirt",,
"UNALAH","skirts, the",,
"UNBA","is powerful","Liber Loagaeth",
"UNCAL","meaning unknown",,
"UNCHI","confound",,
"VNDAT","also, the Master Magickian","Liber Loagaeth",
"UNDES","leaves the 4th","Liber Loagaeth",
"VNDANPEL","the Master Magickian","Liber Loagaeth",
"UNDL","rest; remainder, the",,
"UNIG","requires",,
"UNIGLAG","descend",,
"UNNAX","Sephirotic Cross AIR OF EARTH",,
"UNPH","anger, wrath. var on 'vonph'?",,
"VNRA","the wrathful sun","Liber Loagaeth",
"VO","wherein",,
"VOHIM","mighty",,
"UOLXDO","Sephirotic Cross EARTH OF FIRE",,
"VOM","of everyone","Liber Loagaeth",
"VOMSARG","unto every one of you",,
"VON","image of God","Liber Loagaeth",
"USNARDA","PART IN ICH",,
"VONPHO","wrath, of",,
"VONPOVNPH","wrath in anger",,
"VOOAN","truth",,
"VOR","appearance","Liber Loagaeth",
"VORX","visits","Liber Loagaeth",
"VORS","over",,
"VORSG","over you",,
"VOTOL","wherein all","Liber Loagaeth",
"VOVIN","dragons",,
"VOVINA","dragon, the",,
"VOX","wherein they are (separated)","Liber Loagaeth",
"VOXAD","wherein they are in the third","Liber Loagaeth",
"UPAAH","WINGS",,
"VPAAH","wings",,
"VPAAH","wings",,
"VPAAH","wings, the",,
"UR","ENOCHIAN LETTER L",,
"URAN","ELDERS, THE",,
"VRANKRAN","The Son of Son of Light, unto the eld[ers]","Liber Loagaeth",
"URCH","CONFOUNDING ANGELS",,
"VRDRAH","dark star","Liber Loagaeth",
"VREPREZ","with beautiful praises","Liber Loagaeth",
"UTA","FOURTEENTH AETHYR",,
"UTI","25TH AETHYR",,
"VRBS","beautified",,
"VRELP","seething, a strong",,
"VRO","this one","Liber Loagaeth",
"VSPSN","Servient Angel WATER OF WATER",,
"VSSN","Servient Angel WATER OF WATER",,
"VX","42",,
"X","Pal (X)",,
"X","dissolution","Liber Loagaeth",
"XA","in dissolution","Liber Loagaeth",
"XGSD","Kerubic Angel FIRE OF AIR",,
"XPACN","Servient Angel FIRE OF WATER",,
"XPCN","Servient Angel FIRE OF WATER",,
"XRINH","Servient Angel EARTH OF WATER",,
"XRNH","Servient Angel EARTH OF WATER",,
"Z","Ceph (Z)",,
"Z","THEY",,
"ZA","NAME OF AN ANGEL",,
"ZAA","27TH AETHYR",,
"ZAAOZAIF","Senior JUPITER of AIR",,
"ZABLIS","both S and Ab (should be followed by a verb—such as to say: both S and Ab went to the store; or even preceded by a verb—such as to say: Henry invited both S and Ab); these are names of two of the Daughters of Daughters of Light.","Liber Loagaeth",
"ZACAM","I MOVE YOU",,
"ZACAR","MOVE",,
"ZADZACZADLI","ADAM, IN BOOK OF SOYGA",,
"ZAFASAI","PART IN ZEN",,
"ZAMFRES","PART IN ZID",,
"ZAMRAN","SHOW YOURSELVES",,
"ZAMRAN","APPEAR",,
"ZAMRAN","SHOW YOURSELVES",,
"ZAR","COURSE, COURSES",,
"ZARNAAH","Zodiacal King GEMINI",,
"ZARZILG","Zodiacal King VIRGO",,
"ZAX","TENTH AETHYR",,
"ZAXANIN","PART IN TOR",,
"ZCHIS","THEY ARE",,
"ZE","Daughter of Light","Holy Table of Practice perimeter",
"ZEBOG","the Daughter of Light reigns over","Liber Loagaeth",
"ZED","The Daughter of Light; also a medieval way of pronouncing the English letter Z","Liber Loagaeth",
"ZEDEKIEL","ANGEL OF JUPITER",,
"ZEMBVGES","the Daughter of Light’s 9 glories from the 4th","Liber Loagaeth",
"ZEN","EIGHTEENTH AETHYR",,
"ZEZ","firey angels","Liber Loagaeth",
"ZID","EIGHTH AETHYR",,
"ZIEN","HANDS",,
"ZIL","?STRETCH FORTH",,
"ZILDAR","FLEW",,
"ZILDRON","PART IN CHR",,
"ZILODARP","NAME OF GOD",,
"ZIM","THIRTEENTH AETHYR",,
"ZIMAH","clothed with God","Liber Loagaeth",
"ZIMII","HAVE ENTERED",,
"ZIMZ","VESTURES, MY VESTURES",,
"ZINGGEN","Zodiacal King CAPRICORN",,
"ZIP","NINTH AETHYR",,
"ZIR","I AM",,
"ZIR","PRESENCE",,
"ZIRACAH","Zodiacal King AQUARIUS",,
"ZIRDO","I AMZIRENAIAD I AM THE LORD YOUR GOD",,
"ZIRN","WONDERS",,
"ZIROM","THEY WERE",,
"ZIROP","WAS",,
"ZIRZIRD","PART IN MAZ",,
"ZIXLAY","TO STIR UP",,
"ZIZA","Kerubic Angel FIRE OF FIRE",,
"ZIZOP","VESSELS",,
"ZLIDA","WATER, TO",,
"ZNA","MOTION, MOVEMENT",,
"ZNRZA","SWORE",,
"ZOL","HANDS",,
"ZOM","THIRD AETHYR",,
"ZOMD","IN THE MIDST",,
"ZON-","L THE FIRST FORM (Schuler)",,
"ZONAC","THEY ARE APPARELED",,
"ZONG","OF THE WINDS",,
"ZONRENSG","DELIVERED YOU",,
"ZORGE","BE FRIENDLY TO ME",,
"ZUDNA","MEANING UNKNOWN",,
"ZUMVI","SEAS",,
"ZURAAH","FERVENTLY, WITH HUMILITY",,
"ZURAH","FERVENTLY, WITH HUMILITY",,
"ZURCHOL","Zodiacal King PISCES",,
"ZURE","MEANING UNKNOWN",,
"ZURESK","Fervently unto the 4 th Heaven, Rushing","Liber Loagaeth",
