"key","subkey","enochianLatin","enochianTransliteration","english"
8,16,,,"for my own righteousnes"
8,17,,,"sayth"
8,18,,,"the Lord"
8,19,,,"whose"
8,20,,,"long contynuance"
8,21,,,"shall be"
8,22,,,"as"
8,23,,,"bucklers"
8,24,,,"to the stowping"
8,25,,,"Dragons"
8,26,,,"and"
8,27,,,"like unto the harvest"
8,28,,,"of a wyddow."
8,29,,,"How many"
8,30,,,"are"
8,31,,,"there"
8,32,,,"which"
8,33,,,"remayn"
8,34,,,"in the glorie"
8,35,,,"of the earth"
8,36,,,"which"
8,37,,,"are"
8,38,,,"and"
8,39,,,"shall not see"
8,40,,,"death"
8,41,,,"untyll"
8,42,,,"this"
8,43,,,"howse"
8,44,,,"fall"
8,45,,,"and"
8,46,,,"the Dragon"
8,47,,,"snyck."
8,48,,,"Come away,"
8,49,,,"for"
8,50,,,"the Thunders"
8,51,,,"have spoken:"
8,52,,,"Come away,"
8,53,,,"for"
8,54,,,"the Crownes"
8,55,,,"of the Temple"
8,56,,,"and"
8,57,,,"the coat"
8,58,,,"of him that is, was and shall be crowned"
8,59,,,"are divided"
8,60,,,"Come"
8,61,,,"Appeare"
8,62,,,"to the terror"
8,63,,,"of the earth"
8,64,,,"and"
8,65,,,"to our comfort"
8,66,,,"and"
8,67,,,"of such"
8,68,,,"as"
8,69,,,"are prepared."
9,1,,,"A mighty"
9,2,,,"garde"
9,3,,,"of fire"
9,4,,,"with two-edged swords"
9,5,,,"flaming"
9,6,,,"(which"
9,7,,,"have"
9,8,,,"viols"
9,9,,,":8:"
9,10,,,"of wrath"
9,11,,,"for two tymes"
9,12,,,"and"
9,13,,,"a half:"
9,14,,,"whose"
9,15,,,"wings"
9,16,,,"are"
9,17,,,"of wormwood,"
9,18,,,"and"
9,19,,,"of the marrow"
9,20,,,"of salt,)"
9,21,,,"have setled"
9,22,,,"their feete"
9,23,,,"in the West,"
9,24,,,"and"
9,25,,,"are"
9,26,,,"measured"
9,27,,,"with their Ministers"
9,28,,,"9996."
9,29,,,"These"
9,30,,,"gather up"
9,31,,,"the moss"
9,32,,,"of the earth"
9,33,,,"as"
9,34,,,"the rich"
9,35,,,"man"
9,36,,,"doth"
9,37,,,"his threasor:"
9,38,,,"Cursed"
9,39,,,"ar they"
9,40,,,"whose"
9,41,,,"iniquities"
9,42,,,"they are"
9,43,,,"in their eyes"
9,44,,,"are"
9,45,,,"milstones"
9,46,,,"greater"
9,47,,,"than the earth"
9,48,,,"And"
9,49,,,"from their mowthes"
9,50,,,"rune"
9,51,,,"seas"
9,52,,,"of blud:"
9,53,,,"Their heds"
9,54,,,"are covered"
9,55,,,"with diamond:"
9,56,,,"and"
9,57,,,"uppon"
9,58,,,"their heds"
9,59,,,"are"
9,60,,,"marble"
9,61,,,"sleves."
9,62,,,"Happie is he,"
9,63,,,"on whome"
9,64,,,"they frown not."
9,65,,,"For why?"
9,66,,,"The God"
9,67,,,"of righteousnes,"
9,68,,,"rejoyceth"
9,69,,,"in them."
9,70,,,"Come away"
9,71,,,"and"
9,72,,,"not"
9,73,,,"your Viols"
9,74,,,"For"
9,75,,,"the tyme"
9,76,,,"is"
9,77,,,"such"
9,78,,,"as"
9,79,,,"requireth"
9,80,,,"comfort."
10,1,,,"The Thunders of Judgement and Wrath"
10,2,,,"are"
10,3,,,"numbred"
10,4,,,"and"
10,5,,,"are haborowed"
10,6,,,"in the North"
10,7,,,"in the likenes"
10,8,,,"of an oke"
10,9,,,"whose"
10,10,,,"branches"
10,11,,,"are"
10,12,,,"Nests"
10,13,,,"22"
10,14,,,"of lamentation"
10,15,,,"and"
10,16,,,"weaping"
10,17,,,"Layd up"
10,18,,,"for"
10,19,,,"the earth"
10,20,,,"which"
10,21,,,"burn"
10,22,,,"night"
10,23,,,"and"
10,24,,,"day:"
10,25,,,"and"
10,26,,,"vomit out"
10,27,,,"the heds"
10,28,,,"of scorpions"
10,29,,,"and"
10,30,,,"live sulphur"
10,31,,,"myngled"
10,32,,,"with poyson"
10,33,,,"These"
10,34,,,"be"
10,35,,,"The Thunders"
10,36,,,"that"
10,37,,,"5678"
10,38,,,"tymes"
10,39,,,"in the 24th part"
10,40,,,"of a moment"
10,41,,,"rore"
10,42,,,"with a hundred"
10,43,,,"mighty"
10,44,,,
10,45,,,"earthquakes"
10,46,,,"and"
10,47,,,"a thousand"
10,48,,,"tymes"
10,49,,,"as many"
10,50,,,"surges"
10,51,,,"which"
10,52,,,"rest not"
10,53,,,"neyther"
10,54,,,"know"
10,55,,,"at any"
10,56,,,
10,57,,,"tyme"
10,58,,,"here"
10,59,,,"One"
10,60,,,"rock"
10,61,,,"bringeth forth"
10,62,,,"1000"
10,63,,,"even as"
10,64,,,"the hart"
10,65,,,"of man"
10,66,,,"doth"
10,67,,,"his thowghts"
10,68,,,"wo"
10,69,,,"wo"
10,70,,,"wo"
10,71,,,"wo"
10,72,,,"wo"
10,73,,,"wo"
10,74,,,"yea"
10,75,,,"wo"
10,76,,,"be to the earth"
10,77,,,"For"
10,78,,,"her iniquitie"
10,79,,,"is"
10,80,,,"was"
10,81,,,"and shal be"
10,82,,,"great."
10,83,,,"Come away"
10,84,,,"but"
10,85,,,"not"
10,86,,,"your noyses."
11,1,,,"The mighty seat"
11,2,,,"groaned"
11,3,,,"and"
11,4,,,"they were"
11,5,,,":5:"
11,6,,,"thunders"
11,7,,,"which"
11,8,,,"flew"
11,9,,,"into the East"
11,10,,,"and"
11,11,,,"the Egle"
11,12,,,"spake"
11,13,,,"and"
11,14,,,"cryed with a lowde voyce"
11,15,,,"Come awaye"
11,16,,,"and"
11,17,,,"they gathered them together in"
11,18,,,"the house"
11,19,,,"of death"
11,20,,,"of whome"
11,21,,,"it is measured"
11,22,,,"and"
11,23,,,"it"
11,24,,,"is"
11,25,,,"as"
11,26,,,"they are"
11,27,,,"whose"
11,28,,,"number"
11,29,,,"is"
11,30,,,"31."
11,31,,,"Come away"
11,32,,,"For"
11,33,,,"I have prepared"
11,34,,,"for you"
11,35,"ZACAR","ZACARe","Move"
11,36,"CA","cab","therfore"
11,37,"OD","od","and"
11,38,"ZAMRAN","ZAMRAN","shew your selves"
11,39,"ODO","odo","open"
11,40,"CICLE","cicle","the Mysteries"
11,41,"QAA","Qaá","of your Creation"
11,42,"ZORGE","Zorge","Be friendely unto me"
11,43,"LAP","lap","for"
11,44,"ZIRDO","zirdo","I am"
11,45,"NOCO","noco","the servant"
11,46,"MAD","Mad","of the same your God"
11,47,"HOATH","Hoath","the true worshipper"
11,48,"IAIDA","Iaida.","of the Highest."
12,1,,,"O you"
12,2,,,"that"
12,3,,,"rayne"
12,4,,,"in the sowth"
12,5,,,"and"
12,6,,,"are"
12,7,,,":28:"
12,8,,,"the lanterns"
12,9,,,"of sorrow"
12,10,,,"bynde up"
12,11,,,"your girdles"
12,12,,,"and"
12,13,,,"viset us"
12,14,,,"Bring down"
12,15,,,"your trayn"
12,16,,,"3663"
12,17,,,"that"
12,18,,,"the Lord"
12,19,,,"may be magnified"
12,20,,,"whose"
12,21,,,"name"
12,22,,,"amongst you"
12,23,,,"is"
12,24,,,"Wrath"
12,25,"ZACAR","ZACARe","Move,"
12,26,"GOHUS","gohus","I say,"
12,27,"OD","od","and"
12,28,"ZAMRAN","ZAMRAN,","shew yourselves"
12,29,"ODO","odo","open"
12,30,"CICLE","cicle","the mysteries"
12,31,"QAA","Qáa","of your Creation"
12,32,"ZORGE","Zorge,","be friendly unto me"
12,33,"LAP","Lap","for"
12,34,"ZIRDO","zirdo","I am"
12,35,"NOCO","noco","the servant"
12,36,"MAD","MAD","of the same your God,"
12,37,"HOATH","Hoath","the true worshipper"
12,38,"IAIDA","Iaida.","of the Highest."
13,1,,,"Oh you swords"
13,2,,,"of the sowth"
13,3,,,"which"
13,4,,,"have"
13,5,,,"42"
13,6,,,"eyes"
13,7,,,"to styr up"
13,8,,,"wrath"
13,9,,,"of synn"
13,10,,,"making"
13,11,,,"men"
13,12,,,"drunken"
13,13,,,"which"
13,14,,,"are"
13,15,,,"empty:"
13,16,,,"Behold"
13,17,,,"the promise"
13,18,,,"of God"
13,19,,,"and"
13,20,,,"his powre"
13,21,,,
13,22,,,"which"
13,23,,,"is called"
13,24,,,"amongst you"
13,25,,,"A bitter sting:"
13,26,"ZACAR","ZACAR","Move"
13,27,"OD","od","and"
13,28,"ZAMRAN","ZAMRAN,","shew yourselves"
13,29,"ODO","odo","Open"
13,30,"CICLE","cicle","the mysteries"
13,31,"QAA","Qäa","of your Creation"
13,32,"ZORGE","Zorge,","Be friendly unto me:"
13,33,"LAP","Lap","for"
13,34,"ZIRDO","zirdo","I am"
13,35,"NOCO","Noco","the servant"
13,36,"MAD","MAD,","of the same your God"
13,37,"HOATH","Hoath","The true worshipper"
13,38,"IAIDA","Iaida.","of the Highest"
14,1,,,"O you sonns"
14,2,,,"of fury"
14,3,,,"the dowghters"
14,4,,,"of the Just"
14,5,,,"which"
14,6,,,"sit"
14,7,,,"upon"
14,8,,,"24"
14,9,,,"seats"
14,10,,,"vexing"
14,11,,,"all"
14,12,,,"creatures"
14,13,,,"of the earth"
14,14,,,"with age"
14,15,,,"which"
14,16,,,"have"
14,17,,,"under you"
14,18,,,"1636"
14,19,,,"Behold"
14,20,,,"the voyce"
14,21,,,"of God"
14,22,,,"promys"
14,23,,,"of him"
14,24,,,"which"
14,25,,,"is called"
14,26,,,"amongst you"
14,27,,,"Furye, or Extreme Justice"
14,28,"ZACAR","ZACAR","Move"
14,29,"OD","od","and"
14,30,"ZAMRAN","ZAMRAN","shew yourselves"
14,31,"ODO","odo","open"
14,32,"CICLE","cicle","the mysteries"
14,33,"QAA","Qäa","of your Creation"
14,34,"ZORGE","Zorge,","Be friendly unto me"
14,35,"LAP","Lap","for"
14,36,"ZIRDO","zirdo","I am"
14,37,"NOCO","Noco","the servant"
14,38,"MAD","MAD,","of the same your God"
14,39,"HOATH","hoath","the true worshipper"
14,40,"IAIDA","Iaida.","of the Highest."
15,1,,,"O thow"
15,2,,,"the governor"
15,3,,,"of the first"
15,4,,,"flame"
15,5,,,"under whose"
15,6,,,"wyngs"
15,7,,,"are"
15,8,,,"6739"
15,9,,,"which"
15,10,,,"weave"
15,11,,,"the earth"
15,12,,,"with drynes"
15,13,,,"which"
15,14,,,"knowest"
15,15,,,"of the great name"
15,16,,,"Righteousnes"
15,17,,,"and"
15,18,,,"the seale"
15,19,,,"of Honor"
15,20,"ZACAR","ZACAR","Move"
15,21,"OD","od","and"
15,22,"ZAMRAN","ZAMRAN,","shew yourselves"
15,23,"ODO","odo","open"
15,24,"CICLE","cicle","the mysteries"
15,25,"QAA","Qäa","of your Creation"
15,26,"ZORGE","zorge,","Be friendely unto me"
15,27,"LAP","Lap","for"
15,28,"ZIRDO","zirdo","I am"
15,29,"NOCO","Noco","the servant"
15,30,"MAD","MAD,","of the same your God"
15,31,"HOATH","hoath","the true worshipper"
15,32,"IAIDA","Iaida.","of the Highest."
16,1,,,"Oh thow"
16,2,,,"second"
16,3,,,"flame"
16,4,,,"the house"
16,5,,,"of Justice"
16,6,,,"which"
16,7,,,"hast"
16,8,,,"thy beginning"
16,9,,,"in glory:"
16,10,,,"and"
16,11,,,"shalt comfort"
16,12,,,"the iust:"
16,13,,,"which"
16,14,,,"walkest"
16,15,,,"on the earth"
16,16,,,"with feete"
16,17,,,"876"
16,18,,,"that"
16,19,,,"understand"
16,20,,,"and"
16,21,,,"separate"
16,22,,,"creatures:"
16,23,,,"great"
16,24,,,"art"
16,25,,,"thow"
16,26,,,"in the God of stretch-forth-and-conquer."
16,27,"ZACAR","ZACAR","Move"
16,28,"OD","od","and"
16,29,"ZAMRAN","ZAMRAN","shew yourselves"
16,30,"ODO","odo","Open"
16,31,"CICLE","cicle","the mysteries"
16,32,"QAA","Qäa","of your Creation"
16,33,"ZORGE","zorge,","Be friendly unto me"
16,34,"LAP","Lap","for"
16,35,"ZIRDO","zirdo","I am"
16,36,"NOCO","Noco","the servant"
16,37,"MAD","Mad","of the same your God"
16,38,"HOATH","hoath","the true worshipper"
16,39,"IAIDA","Iaida.","of the Highest."
17,1,,,"O thow"
17,2,,,"third"
17,3,,,"flame"
17,4,,,"whose"
17,5,,,"wyngs"
17,6,,,"are"
17,7,,,"thorns"
17,8,,,"to styr up"
17,9,,,"vexation:"
17,10,,,"and"
17,11,,,"hast"
17,12,,,"7336"
17,13,,,"lamps living"
17,14,,,"going"
17,15,,,"before the"
17,16,,,"whose"
17,17,,,"God"
17,18,,,"is"
17,19,,,"Wrath in Angre"
17,20,,,"Gyrd up"
17,21,,,"thy loynes"
17,22,,,"and"
17,23,,,"harken"
17,24,"ZACAR","ZACAR","Move"
17,25,"OD","od","and"
17,26,"ZAMRAN","ZAMRAN","shew yourselves"
17,27,"ODO","odo","Open"
17,28,"CICLE","cicle","the mysteries"
17,29,"QAA","Qäa","of your Creation"
17,30,"ZORGE","zorge,","Be friendely unto me"
17,31,"LAP","Lap","for"
17,32,"ZIRDO","zirdo","I am"
17,33,"NOCO","Noco","the servant"
17,34,"MAD","Mad","of the same your God"
17,35,"HOATH","hoath","the true worshipper"
17,36,"IAIDA","Iaida","of the Highest."
18,1,,,"O thow"
18,2,,,"mighty"
18,3,,,"light"
18,4,,,"and"
18,5,,,"burning flame"
18,6,,,"of comfort"
18,7,,,"which"
18,8,,,"openest"
18,9,,,"the glory"
18,10,,,"of God"
18,11,,,"to the center"
18,12,,,"of the erth"
18,13,,,"In whome"
18,14,,,"the secrets of truth"
18,15,,,"6332"
18,16,,,"have"
18,17,,,"their abiding"
18,18,,,"which"
18,19,,,"is called"
18,20,,,"in thy Kingdome"
18,21,,,"IOYE"
18,22,,,"and"
18,23,,,"not to be measured"
18,24,,,"Be thow"
18,25,,,"a wyndow"
18,26,,,"of comfort"
18,27,,,"vnto me."
18,28,"ZACAR","ZACAR","Move"
18,29,"OD","od","and"
18,30,"ZAMRAN","ZAMRAN","shew yourselves"
18,31,"ODO","odo","Open"
18,32,"CICLE","cicle","the mysteries"
18,33,"QAA","Qäa","of your Creation"
18,34,"ZORGE","zorge","Be friendely unto me"
18,35,"LAP","Lap","for"
18,36,"ZIRDO","zirdo","I am"
18,37,"NOCO","Noco","the servant"
18,38,"MAD","MAD","of the same your God"
18,39,"HOATH","Hoath","the true worshipper"
18,40,"IAIDA","Iaida.","of the Highest."
